Num,Title,Year,Publisher,Genre,Platform,No_Players,Userscore
0,The Legend of Zelda: Ocarina of Time,1998,Nintendo,Action Adventure;Fantasy,Nintendo64,1 Player,9.49
1,Tony Hawk's Pro Skater 2,2000,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation,1-2 ,8.12
2,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PlayStation3,1 Player,7.09
3,SoulCalibur,1999,Namco,Action;Fighting;3D,Dreamcast,1-2 ,9.57
4,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,Xbox360,1 Player,7.09
5,Super Mario Galaxy,2007,Nintendo,Action;Platformer;Platformer;3D;3D,Wii,No Online Multiplayer,9.19
6,Super Mario Galaxy 2,2010,NintendoEADTokyo,Action;Platformer;Platformer;3D;3D,Wii,No Online Multiplayer,9.15
7,Grand Theft Auto V,2014,RockstarNorth,Action Adventure;Modern;Open-World,XboxOne,Up to 30 ,7.93
8,Grand Theft Auto V,2013,RockstarNorth,Modern;Action Adventure;Modern;Open-World,PlayStation3,Up to 16 ,7.93
9,Grand Theft Auto V,2013,RockstarNorth,Modern;Action Adventure;Modern;Open-World,Xbox360,Up to 16 ,7.93
10,Tony Hawk's Pro Skater 2,2000,Treyarch,Sports;Alternative;Skateboarding,Dreamcast,not specified,8.12
11,The Legend of Zelda: Breath of the Wild,2017,Nintendo,Action Adventure;Open-World,Switch,No Online Multiplayer,9.13
12,Tony Hawk's Pro Skater 3,2001,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation2,1-2 ,8.17
13,Perfect Dark,2000,RareLtd.,Action;Shooter;First-Person;Sci-Fi,Nintendo64,not specified,9.44
14,Grand Theft Auto V,2014,RockstarNorth,Action Adventure;Modern;Open-World,PlayStation4,Up to 30 ,7.93
15,Metroid Prime,2002,RetroStudios,Action;Shooter;First-Person;Sci-Fi,GameCube,1 Player,9.35
16,Grand Theft Auto III,2001,DMADesign,Action Adventure;Modern,PlayStation2,1 Player,8.36
17,Super Mario Odyssey,2017,Nintendo,Action;Platformer;3D,Switch,No Online Multiplayer,9.17
18,Halo: Combat Evolved,2001,BungieSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,1-4 ,8.3
19,NFL 2K1,2000,VisualConcepts,Sports;Traditional;Football;Sim,Dreamcast,not specified,9.44
20,Half-Life 2,2004,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,No Online Multiplayer,8.98
21,Grand Theft Auto V,2015,RockstarNorth,Modern;Action Adventure;Open-World,PC,Up to 32 ,7.93
22,The Legend of Zelda: Breath of the Wild,2017,Nintendo,Fantasy;Fantasy;Action Adventure;Open-World,WiiU,No Online Multiplayer,9.13
23,BioShock,2007,"IrrationalGames,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,No Online Multiplayer,8.34
24,GoldenEye 007,1997,RareLtd.,Action;Shooter;First-Person;Modern,Nintendo64,1-4 ,8.87
25,Uncharted 2: Among Thieves,2009,NaughtyDog,Action Adventure;Modern;Modern;Linear,PlayStation3,No Online Multiplayer,9.2
26,Resident Evil 4,2005,Capcom,Action Adventure;Horror,GameCube,1 Player,9.15
27,The Orange Box,2007,ValveSoftware,Action;Miscellaneous;Shooter;Compilation;First-Person;Sci-Fi,Xbox360,16  Online,9.22
28,The Orange Box,2007,ValveSoftware,Action;Miscellaneous;Shooter;Compilation;First-Person;Sci-Fi,PC,16  Online,9.22
29,Batman: Arkham City,2011,RocksteadyStudios,Action Adventure;Fantasy;Fantasy;Open-World,PlayStation3,No Online Multiplayer,8.96
30,Tekken 3,1998,Namco,Action;Fighting;3D,PlayStation,1-2 ,9.25
31,Mass Effect 2,2010,BioWare,Role-Playing;Action RPG;Action RPG,Xbox360,No Online Multiplayer,8.66
32,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy,GameCube,1 Player,8.84
33,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,No Online Multiplayer,7.15
34,Half-Life,1998,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,1-32 ,9.36
35,Resident Evil 4,2005,Capcom,Action Adventure;Horror,PlayStation2,1 Player,9.15
36,The Legend of Zelda: The Wind Waker,2003,Nintendo,Action Adventure;Fantasy,GameCube,1 Player,8.63
37,Gran Turismo,1998,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation,1-2 ,8.94
38,BioShock,2007,"IrrationalGames,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,No Online Multiplayer,8.34
39,Metal Gear Solid 2: Sons of Liberty,2001,KCEJ,Action Adventure;Modern,PlayStation2,1 Player,8.44
40,Grand Theft Auto Double Pack,2003,RockstarNorth,Miscellaneous;Compilation,Xbox,1 Player,8.44
41,Baldur's Gate II: Shadows of Amn,2000,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,Up to 6 ,9.5
42,Grand Theft Auto: San Andreas,2004,RockstarNorth,Action Adventure;Modern,PlayStation2,1-2 ,8.8
43,Grand Theft Auto: Vice City,2002,RockstarNorth,Action Adventure;Modern,PlayStation2,1 Player,8.9
44,LittleBigPlanet,2008,"SCE/WWS,MediaMolecule",Action;Platformer;Platformer;3D;2D;3D,PlayStation3,Up to 4 ,8.22
45,The Legend of Zelda Collector's Edition,2003,Nintendo,Action Adventure;Fantasy,GameCube,1 Player,9.14
46,Red Dead Redemption,2010,RockstarSanDiego,Action;Shooter;Third-Person;Historic;Action Adventure;Historic;Historic;Open-World,PlayStation3,Up to 16 ,8.9
47,Gran Turismo 3: A-Spec,2001,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation2,1-2 ,8.71
48,Halo 2,2004,BungieSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,1-16 ,8.03
49,The Legend of Zelda: A Link to the Past,2002,Capcom,Action Adventure;Fantasy,GameBoyAdvance,not specified,8.74
50,The Legend of Zelda: Majora's Mask,2000,Nintendo,Action Adventure;Fantasy,Nintendo64,1 Player,9.14
51,The Last of Us,2013,NaughtyDog,Modern;Adventure;General;Action Adventure;General;Modern,PlayStation3,Up to 8 ,9.24
52,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy;General;Fantasy;Open-World,Wii,No Online Multiplayer,8.84
53,Madden NFL 2003,2002,EASports,Sports;Traditional;Football;Sim,PlayStation2,1-2 ,8.14
54,Tony Hawk's Pro Skater 2,2001,VicariousVisions,Sports;Alternative;Skateboarding,GameBoyAdvance,not specified,8.12
55,The Last of Us Remastered,2014,NaughtyDog,Action Adventure;General;Modern,PlayStation4,Up to 8 ,9.32
56,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,not specified,9.34
57,Red Dead Redemption,2010,RockstarSanDiego,Action;Action Adventure;Shooter;Historic;Historic;Open-World;Third-Person;Historic,Xbox360,Up to 16 ,8.9
58,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,not specified,9.34
59,Metal Gear Solid V: The Phantom Pain,2015,"KojimaProductions,MobyDickStudio",Modern;Modern;Action Adventure;Open-World,XboxOne,Up to 16 ,8.02
60,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,not specified,9.34
61,World of Goo,2008,2DBoy,Miscellaneous;Puzzle;Action;Puzzle;General;Puzzle;General,Wii,1-4 ,8.52
