Num,Title,Year,Publisher,Genre,Platform,No_Players,Userscore
62,BioShock Infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,No Online Multiplayer,8.24
63,Final Fantasy IX,2000,SquareSoft,Role-Playing;Console-style RPG,PlayStation,1 Player,9.1
64,Call of Duty: Modern Warfare 2,2009,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,Up to 18 ,5.28
65,Tony Hawk's Pro Skater 4,2002,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation2,1-8 ,8.94
66,Devil May Cry,2001,Capcom,Action Adventure;Fantasy,PlayStation2,1 Player,8.88
67,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,Up to 18 ,8.56
68,Madden NFL 2002,2001,EASports,Sports;Traditional;Football;Sim,PlayStation2,1-8 ,9.65
69,God of War,2018,SCESantaMonica,Action Adventure;Linear,PlayStation4,No Online Multiplayer,9.19
70,Batman: Arkham City,2011,RocksteadyStudios,Action Adventure;Fantasy;Fantasy;Open-World,Xbox360,No Online Multiplayer,8.96
71,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PC,No Online Multiplayer,7.15
72,Mass Effect 2,2010,BioWare,Role-Playing;Action RPG;Action RPG,PC,No Online Multiplayer,8.66
73,The Legend of Zelda: Ocarina of Time 3D,2011,GREZZO,Miscellaneous;Action Adventure;Fantasy;Fantasy;Compilation;Open-World,3DS,No Online Multiplayer,9.27
74,Chrono Cross,2000,SquareSoft,Role-Playing;Console-style RPG,PlayStation,1 Player,8.34
75,BioShock,2008,"DigitalExtremes,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,No Online Multiplayer,8.34
76,Mass Effect 2,2011,BioWare,Role-Playing;Action RPG;Action RPG,PlayStation3,No Online Multiplayer,8.66
77,Grand Theft Auto: Vice City,2003,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,No Online Multiplayer,8.9
78,Madden NFL 2004,2003,EATiburon,Sports;Traditional;Football;Sim,PlayStation2,1-8 ,8.26
79,Gears of War,2006,EpicGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,8  Online,7.6
80,The Elder Scrolls IV: Oblivion,2006,BethesdaSoftworks,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,No Online Multiplayer,8.11
81,Sid Meier's Civilization II,1996,MPSLabs,Strategy;Turn-Based;Historic;General;Historic;4X,PC,1 Player,9.63
82,Quake,1996,idSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,1-16 ,9.56
83,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Xbox360,Up to 18 ,8.56
84,BioShock Infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,No Online Multiplayer,8.24
85,Halo 3,2007,"BungieSoftware,Bungie",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,1-4 ,7.47
86,Ninja Gaiden Black,2005,TeamNinja,Action Adventure;Fantasy,Xbox,1 Player,8.54
87,The Elder Scrolls IV: Oblivion,2006,BethesdaSoftworks,Role-Playing;First-Person;First-Person;Western-Style,PC,No Online Multiplayer,8.11
88,Street Fighter IV,2009,Capcom,Action;Fighting;Fighting;3D;2D;3D,PlayStation3,2  Online,7.16
89,Celeste,2018,MattMakesGamesInc.,Action;Platformer;2D,XboxOne,No Online Multiplayer,8.64
90,Super Mario Advance 4: Super Mario Bros. 3,2003,Nintendo,Action;Platformer;2D,GameBoyAdvance,1-4 ,8.79
91,Jet Grind Radio,2000,Smilebit,Action;Platformer;3D,Dreamcast,not specified,8.5
92,Metal Gear Solid,1998,KCEJ,Action Adventure;Modern,PlayStation,1 Player,9.61
93,Grim Fandango,1998,LucasArts,Adventure;General;General;3D;Third-Person;Fantasy,PC,No Online Multiplayer,9.79
94,Tom Clancy's Splinter Cell Chaos Theory,2005,UbisoftMontreal,Action Adventure;Modern,Xbox,4  Online,8.86
95,Burnout 3: Takedown,2004,CriterionGames,Driving;Racing;Arcade,Xbox,8  Online,9.13
96,Diablo,1996,BlizzardEntertainment,Role-Playing;Action RPG;Action RPG,PC,1-4 ,8.81
97,Metal Gear Solid 3: Subsistence,2006,Aspect,Action Adventure;Modern,PlayStation2,8  Online,9.07
98,Call of Duty: Modern Warfare 2,2009,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Xbox360,Up to 18 ,5.28
99,Metal Gear Solid 4: Guns of the Patriots,2008,KojimaProductions,Action Adventure;Modern;General;Modern,PlayStation3,Up to 16 ,8.67
100,NCAA Football 2004,2003,EASports,Sports;Traditional;Football;Sim,PlayStation2,1-8 ,8.96
101,God of War,2005,SCESantaMonica,Action Adventure;Fantasy,PlayStation2,1 Player,9.19
102,Star Wars: Knights of the Old Republic,2003,BioWare,Role-Playing;Third-Person,Xbox,1 Player,8.97
103,Sid Meier's Civilization IV,2005,FiraxisGames,Strategy;Turn-Based;Historic;Historic;4X,PC,12  Online,7.37
104,Madden NFL 2004,2003,EATiburon,Sports;Traditional;Football;Sim,GameCube,1-4 ,8.26
105,Virtua Fighter 4,2002,SegaAM2,Action;Fighting;3D,PlayStation2,1-2 ,7.46
106,Super Mario 64,1996,Nintendo,Action;Platformer;3D,Nintendo64,1 Player,9.11
107,The Witcher 3: Wild Hunt,2015,CDProjektRedStudio,Action RPG;Role-Playing;Action RPG,PC,No Online Multiplayer,9.01
108,Burnout 3: Takedown,2004,CriterionGames,Driving;Racing;Arcade,PlayStation2,1-16 ,9.13
109,Super Smash Bros. Brawl,2008,GameArts,Action;Fighting;Fighting;3D;2D;3D,Wii,Up to 4 ,8.57
110,Company of Heroes,2006,Relic,Strategy;Real-Time;Historic;General;Historic,PC,8  Online,8.72
111,Gran Turismo 2,1999,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation,1-2 ,8.64
112,Tom Clancy's Splinter Cell Pandora Tomorrow,2004,UbisoftShanghai,Action Adventure;Modern,Xbox,1-4 ,8.79
113,Grand Theft Auto: Chinatown Wars,2009,RockstarLeeds,Action Adventure;Modern;Modern;Open-World,DS,not specified,8.35
114,Pac-Man Championship Edition DX,2010,NamcoBandaiGames,Adventure;General;Action;General;General;Arcade,Xbox360,not specified,8.81
115,Street Fighter Alpha 3,1999,Capcom,Action;Fighting;2D,PlayStation,1-2 ,9.13
116,Tony Hawk's Pro Skater 3,2002,NeversoftEntertainment,Sports;Alternative;Skateboarding,Xbox,1-4 ,8.17
117,Divinity: Original Sin II,2017,LarianStudios,Action RPG;Role-Playing;Western-Style,PC,Online Multiplayer,8.93
118,Unreal Tournament 2004,2004,EpicGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,1-32 ,9.61
119,BioShock Infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,No Online Multiplayer,8.24
120,Braid,2008,NumberNoneInc.,Action;Platformer;Platformer;2D;2D,Xbox360,1 Player,8.54
121,God of War II,2007,SCESantaMonica,Action Adventure;Fantasy,PlayStation2,1 Player,8.78
122,Super Mario 3D World,2013,Nintendo,Platformer;3D;Action;Platformer;3D,WiiU,No Online Multiplayer,9.03
123,Starcraft II: Wings of Liberty,2010,BlizzardEntertainment,Strategy;Real-Time;Sci-Fi;Command,PC,Up to 4 ,7.68
124,SSX,2000,EASportsBig,Sports;Alternative;Snowboarding,PlayStation2,1-2 ,6.57
125,Street Fighter IV,2009,Capcom,Action;Fighting;Fighting;3D;2D;3D,Xbox360,2  Online,7.16
126,Minecraft,2009,MojangAB,Action Adventure;Adventure;3D;Sandbox;First-Person;Fantasy;Fantasy,PC,Up to 10 ,7.57
127,Persona 5,2017,Atlus,Role-Playing;Japanese-Style,PlayStation4,No Online Multiplayer,9.29
128,Persona 4 Golden,2012,Atlus,Role-Playing;Console-style RPG;Console-style RPG;Japanese-Style,PlayStationVita,Up to 40 ,9.52
129,SSX 3,2003,EACanada,Sports;Alternative;Snowboarding,PlayStation2,1-2 ,9.57
130,Tom Clancy's Splinter Cell,2002,UbisoftMontreal,Action Adventure;Modern,Xbox,1 Player,8.34
131,Grand Theft Auto III,2002,"DMADesign,RockstarNorth",Action Adventure;Modern;Modern;Open-World,PC,No Online Multiplayer,8.36
132,Quake III Arena,2000,Raster,Action;Shooter;First-Person;Sci-Fi,Dreamcast,not specified,6.5
133,Homeworld,1999,Relic,Strategy;Real-Time;Sci-Fi;Sci-Fi;General,PC,1-8 ,9.59
134,Okami,2006,CloverStudio,Action Adventure;Fantasy,PlayStation2,1 Player,9.1
135,The Elder Scrolls IV: Oblivion,2007,4JStudios,Role-Playing;First-Person;First-Person;Western-Style,PlayStation3,No Online Multiplayer,8.11
136,Fallout 3,2008,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,No Online Multiplayer,8.04
137,Gears of War 2,2008,EpicGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,1-2 ,7.05
138,SoulCalibur II,2003,Namco,Action;Fighting;3D,GameCube,1-2 ,9.04
139,World Soccer Winning Eleven 6 International,2003,KCET,Sports;Traditional;Soccer;Sim,PlayStation2,1-8 ,9.86
140,NFL 2K3,2002,VisualConcepts,Sports;Traditional;Football;Sim,PlayStation2,1-2 ,7.67
141,Mass Effect 3,2012,BioWare,Role-Playing;Action RPG;Action RPG,Xbox360,Up to 4 ,5.23
142,Metal Gear Solid V: The Phantom Pain,2015,"KojimaProductions,MobyDickStudio",Modern;Action Adventure;Modern;Open-World,PlayStation4,Up to 16 ,8.02
143,Skies of Arcadia,2000,Overworks,Role-Playing;Console-style RPG,Dreamcast,not specified,9.85
144,The Legend of Zelda: Skyward Sword,2011,Nintendo,Action Adventure;Fantasy;General;Fantasy;Open-World,Wii,No Online Multiplayer,8.66
145,Mario Kart Super Circuit,2001,IntelligentSystems,Driving;Racing;Kart,GameBoyAdvance,1-4 ,7.25
146,Rock Band 3,2010,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,not specified,8.47
147,Viewtiful Joe,2003,CloverStudio,Action;Beat-'Em-Up,GameCube,1 Player,8.36
148,Test Drive Le Mans,2000,MelbourneHouse,Driving;Racing;GT / Street,Dreamcast,not specified,10.0
149,NBA 2K1,2000,VisualConcepts,Sports;Traditional;Basketball;Sim,Dreamcast,not specified,
150,Castlevania: Symphony of the Night,1997,Konami,Action;Platformer;2D,PlayStation,1 Player,9.46
151,Star Wars: Knights of the Old Republic,2003,BioWare,Role-Playing;Third-Person;Third-Person;General,PC,No Online Multiplayer,8.97
152,Virtua Fighter 4: Evolution,2003,Sega,Action;Fighting;3D,PlayStation2,1-2 ,9.58
153,Uncharted 4: A Thief's End,2016,NaughtyDog,General;Modern;Action Adventure;Linear,PlayStation4,Up to 10 ,9.13
154,Braid,2009,"HotheadGames,NumberNoneInc.",Action;Platformer;Platformer;2D;2D,PlayStation3,1 Player,8.54
155,Mass Effect 3,2012,BioWare,Role-Playing;Action RPG;Action RPG,PlayStation3,Up to 4 ,5.23
156,Paper Mario,2001,IntelligentSystems,Role-Playing;Console-style RPG,Nintendo64,not specified,9.38
157,Wipeout XL,1996,Psygnosis,Driving;Racing;Futuristic,PlayStation,1-2 ,9.0
158,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern,Xbox,1-2 ,8.8
159,INSIDE,2016,PLAYDEAD,Action;Platformer;2D,XboxOne,not specified,8.57
160,World of Warcraft,2004,BlizzardEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,Massively Multiplayer,6.64
161,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,No Online Multiplayer,8.8
162,Flipnote Studio,2009,Nintendo,Miscellaneous;General;Application,DS,not specified,8.85
163,World Soccer Winning Eleven 7 International,2004,KCET,Sports;Traditional;Soccer;Sim,PlayStation2,1-8 ,8.84
164,NBA 2K2,2001,VisualConcepts,Sports;Traditional;Basketball;Sim,Dreamcast,not specified,8.82
165,SoulCalibur II,2003,Namco,Action;Fighting;3D,PlayStation2,1-2 ,9.04
166,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PlayStation3,No Online Multiplayer,7.15
167,Prince of Persia: The Sands of Time,2003,Ubisoft,Action Adventure;Fantasy,Xbox,1 Player,8.37
168,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PC,Up to 18 ,8.56
169,Divinity: Original Sin II - Definitive Edition,2018,LarianStudios,Role-Playing;Western-Style,PlayStation4,Online Multiplayer,9.19
170,God of War III,2010,SCESantaMonica,Action Adventure;Fantasy;Fantasy;Linear,PlayStation3,No Online Multiplayer,9.14
171,NFL 2K3,2002,VisualConcepts,Sports;Traditional;Football;Sim,GameCube,1-4 ,7.67
172,SSX Tricky,2001,EACanada,Sports;Alternative;Snowboarding,PlayStation2,1-2 ,9.27
173,NHL 2002,2001,EASports,Sports;Traditional;Ice Hockey;Sim,PlayStation2,1-8 ,8.45
174,Guitar Hero II,2007,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,1-2 ,8.91
175,Prince of Persia: The Sands of Time,2003,Ubisoft,Action Adventure;Fantasy,PlayStation2,1 Player,8.37
176,Uncharted 3: Drake's Deception,2011,NaughtyDog,Action Adventure;Modern;Modern;Linear,PlayStation3,Up to 10 ,8.8
177,Rock Band,2007,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,4  Online,8.13
178,Journey,2015,TrickyPixels,Action;Platformer;3D,PlayStation4,2 ,8.33
179,Bloodborne,2015,FromSoftware,Fantasy;Role-Playing;Action Adventure;General;Action RPG,PlayStation4,Up to 5 ,8.75
180,Eternal Darkness: Sanity's Requiem,2002,SiliconKnights,Action Adventure;Horror,GameCube,1 Player,8.66
181,Warcraft III: Reign of Chaos,2002,BlizzardEntertainment,Strategy;Real-Time;Fantasy;General;Fantasy,PC,not specified,8.99
182,SSX 3,2003,EACanada,Sports;Alternative;Snowboarding,GameCube,1-2 ,9.57
183,The Sims,2000,Maxis,Simulation;Miscellaneous;Virtual Life;Virtual;Virtual Life,PC,1 Player,7.3
184,Banjo-Kazooie,1998,RareLtd.,Action;Platformer;3D,Nintendo64,1 Player,9.27
185,Sid Meier's Gettysburg!,1997,FiraxisGames,Strategy;Real-Time;Wargame;Real-Time;General,PC,1-8 ,7.67
186,Rock Band 2,2008,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Wii,4  Online,8.42
187,Forza Motorsport,2005,MicrosoftGameStudios,Driving;Racing;GT / Street,Xbox,8  Online,8.39
188,Celeste,2018,MattMakesGamesInc.,Action;Platformer;2D,Switch,No Online Multiplayer,8.64
189,Madden NFL 2004,2003,EATiburon,Sports;Traditional;Football;Sim,Xbox,1-4 ,8.26
190,Super Street Fighter IV,2010,Capcom,Action;Fighting;Fighting;3D;2D;3D,PlayStation3,Up to 8 ,8.03
191,World Soccer Winning Eleven 7 International,2004,KCET,Sports;Traditional;Team;Soccer;Sim;Sim,PC,1-2 ,8.84
192,Advance Wars,2001,IntelligentSystems,Strategy;Turn-Based;Modern,GameBoyAdvance,1-4 ,8.95
193,Vagrant Story,2000,SquareSoft,Role-Playing;Action RPG,PlayStation,1 Player,9.03
194,What Remains of Edith Finch,2017,GiantSparrow,Adventure;3D;First-Person,XboxOne,No Online Multiplayer,7.94
195,Team Fortress 2,2007,ValveSoftware,Action;Shooter;Shooter;First-Person;Modern;Tactical;Modern,PC,Up to 32 ,8.98
196,System Shock 2,1999,"LookingGlassStudios,IrrationalGames",Action Adventure;Sci-Fi;Sci-Fi;Survival,PC,1 Player,9.29
197,Tom Clancy's Splinter Cell: Chaos Theory,2005,UbisoftMontreal,Action Adventure;Modern;General;Modern,PC,No Online Multiplayer,8.09
198,Final Fantasy XII,2006,SquareEnix,Role-Playing;Console-style RPG,PlayStation2,1 Player,7.29
199,Undertale,2017,tobyfox,Role-Playing;Japanese-Style,PlayStation4,not specified,8.88
200,Madden NFL 2003,2002,EASports,Sports;Traditional;Football;Sim,GameCube,1-4 ,8.14
201,The Witcher 3: Wild Hunt,2015,CDProjektRedStudio,Action RPG;Role-Playing;Action RPG,PlayStation4,No Online Multiplayer,9.01
202,Super Mario World: Super Mario Advance 2,2002,Nintendo,Action;Platformer;2D,GameBoyAdvance,not specified,9.44
203,ESPN NFL 2K5,2004,VisualConcepts,Sports;Traditional;Football;Sim,Xbox,1-4 ,8.84
204,Super Smash Bros. Melee,2001,HALLabs,Action;Fighting;3D,GameCube,1-4 ,9.08
205,Madden NFL 2003,2002,EATiburon,Sports;Traditional;Football;Sim,Xbox,1-4 ,8.14
206,Rome: Total War,2004,CreativeAssembly,Strategy;Real-Time;Historic;General;Historic,PC,8  Online,8.95
207,Forza Motorsport 3,2009,Turn10,Driving;Racing;Simulation;GT / Street;GT / Street;Automobile,Xbox360,Up to 8 ,8.06
208,Okami HD,2017,Capcom,Action Adventure;General,PC,No Online Multiplayer,8.49
209,Undertale,2015,tobyfox,Role-Playing;General;Japanese-Style,PC,No Online Multiplayer,8.88
210,Batman: Arkham Asylum,2009,RocksteadyStudios,Action Adventure;Fantasy;General;Fantasy,Xbox360,No Online Multiplayer,8.65
211,Super Mario Sunshine,2002,Nintendo,Action;Platformer;3D,GameCube,1 Player,8.34
212,SSX 3,2003,EACanada,Sports;Alternative;Snowboarding,Xbox,1-2 ,9.57
213,SoulCalibur II,2003,Namco,Action;Fighting;3D,Xbox,1-2 ,9.04
214,Tony Hawk's Pro Skater,1999,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation,1-2 ,8.0
215,Thief: The Dark Project,1998,LookingGlassStudios,Action Adventure;Fantasy;General;Fantasy,PC,1 Player,9.57
216,Fire Emblem: Awakening,2013,IntelligentSystems,Strategy;Turn-Based;Fantasy;Fantasy;Tactics,3DS,No Online Multiplayer,9.17
217,Age of Empires II: The Age of Kings,1999,EnsembleStudios,Strategy;Real-Time;Historic;Historic;Command,PC,No Online Multiplayer,8.49
218,Final Fantasy X,2001,SquareSoft,Role-Playing;Console-style RPG,PlayStation2,1 Player,8.56
219,Prince of Persia: The Sands of Time,2003,Ubisoft,Action Adventure;Fantasy,GameCube,1 Player,8.37
220,The Walking Dead: A Telltale Games Series,2012,TelltaleGames,Miscellaneous;Adventure;Compilation;Compilation;Point-and-Click,Xbox360,not specified,8.23
221,Unreal Tournament (1999),1999,EpicGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,1-32 ,9.77
222,Sid Meier's Alpha Centauri,1999,FiraxisGames,Strategy;Turn-Based;Sci-Fi;Sci-Fi;4X,PC,not specified,9.87
223,Wave Race 64,1996,Nintendo,Driving;Racing;Snow / Water,Nintendo64,1-2 ,8.93
224,Galactic Civilizations II: Twilight of the Arnor,2008,Stardock,Strategy;Turn-Based;Sci-Fi;Sci-Fi;4X,PC,1 Player,7.21
225,Super Smash Bros. for Wii U,2014,BandaiNamcoGames,Action;Fighting;Fighting;3D;2D;2D;3D,WiiU,Up to 4 ,9.17
226,Guitar Hero II,2006,HarmonixMusicSystems,Miscellaneous;Rhythm;Music,PlayStation2,1-2 ,8.91
227,Into the Breach,2018,SubsetGames,Strategy;Turn-Based;Tactics,Switch,No Online Multiplayer,8.72
228,Final Fantasy VII,1997,SquareSoft,Role-Playing;Console-style RPG,PlayStation,1 Player,9.13
