Title,labels
Bionic Commando Rearmed,"original,old,bionic,new,hard"
Bit.Trip Complete,"worth,new,easy,[,lazy/bad"
Bit.Trip Flux,"absolute,flux,beat,small,difficult"
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,"easy,new,perfect,simple,original"
Black & White,"white,innovative,old,easy,single"
Black Mesa,"original,half,half-life,new,free"
Blast Corps,"nintendo,perfect,difficult,under-rated,playable"
Blast Off,"se,glad,perfect,whilst,easy"
BlazBlue: Calamity Trigger,"guilty,unique,anime,beautiful,deep"
BlazBlue: Calamity Trigger Portable,"hd,online,portable,ad-hoc,conquered.you"
BlazBlue: Central Fiction,"new,blazblue,central,awesome,fighting"
BlazBlue: Chrono Phantasma,"new,fighting,solid,superb,old"
BlazBlue: Chrono Phantasma Extend,"blazblue,visual,interesting,fighting,unique"
BlazBlue: Continuum Shift,"blazblue,new,perfect,single,big"
BlazBlue: Continuum Shift Extend,"blazblue,online,playable,easy,gorgeous"
Bleach: Dark Souls,"dark,fun,favorite,tight,responsive"
Bleach: The Blade of Fate,"new,easy,touch,excellent,fighter"
Bleed 2,"paced,platform,several,new,pleased"
Blood,"classic,pure,amazing,old,fanatic"
Bloodborne,"souls,dark,hard,new,difficult"
Bloodborne: The Old Hunters,"new,old,bloodborne,original,amazing"
Bloodstained: Curse of the Moon,"classic,new,multiple,perfect,spiritual"
Blur,"fun,mario,arcade,single,simple"
Boktai: The Sun Is in Your Hand,"amusing,aesthetic,widely-exposed,mg,excellent"
Bomberman Blast,"new,bomberman,online,classic,hard"
Bomberman Generation,"bomberman,single,enjoyable,local,genius"
Bomberman Live,"bomberman,non,online,comical,explosive"
Bomberman Online,"human,impossible"
Bomberman Ultra,"bomberman,classic,updated,on-line,awesome"
Bookworm Adventures Deluxe,"scrabble,minor,positives.the,dirty,secret"
Boom Blox,"single,old,fun,cool,addictive"
Boom Blox Bash Party,"new,creative,several,bash,tedious"
Borderlands,"fun,new,single,unique,co-op"
Borderlands 2,"new,original,big,funny,awesome"
Borderlands 2: Captain Scarlett and Her Pirate's Booty,"new,big,fine,funny,particular"
Borderlands 2: Mr. Torgue's Campaign of Carnage,"new,torgue,hilarious,arena,funny"
Borderlands 2: Tiny Tina's Assault on Dragon Keep,"new,tiny,fun,old,d"
Borderlands: The Handsome Collection,"handsome,new,worth,fun,hard"
Borderlands: The Secret Armory of General Knoxx,"new,secret,fast,massive,general"
Borderlands: The Zombie Island of Dr. Ned,"new,enjoyable,hard,funny,worth"
Botanicula,"amanita,simple,beautiful,perfect,amazing"
BoxBoxBoy!,"ninety-nine,-puzzle,numerous,easy,understand-challenging"
Braid,"beautiful,unique,simple,hard,new"
Brave Fencer Musashi,"fun,initial,vague,impressive,ps"
Bravely Default,"final,new,classic,second,interesting"
Bravely Second: End Layer,"new,second,interesting,old,big"
Breath of Fire II,"perfect,new,soft,longtime,blue"
Breath of Fire IV,"final,unknown,japanese,sprite,slow-paced"
Broken Age,"second,’,double,new,interesting"
Broken Age: Act 1,"easy,act,double,fantastic,big"
Broken Sword: The Shadow of the Templars,"old,good.a,classical,american,needless"
Broken Sword: The Sleeping Dragon,"excellent,impossible,horrible,interesting,easy"
Brothers in Arms: Earned in Blood,"original,new,tactical,skirmish,german"
Brothers in Arms: Road to Hill 30,"realistic,tactical,linear,new,boring"
Brothers: A Tale of Two Sons,"beautiful,emotional,unique,simple,amazing"
Brutal Legend,"brutal,heavy,funny,awesome,fun"
Bulletstorm,"new,fun,unique,fresh,creative"
Bulletstorm: Full Clip Edition,"new,’,original,skill,duke"
Bully,"easy,new,unique,fun,grand"
Bully: Scholarship Edition,"new,fun,grand,perfect,amazing"
Burnout 2: Point of Impact,"big,original,arcade,amazing,awesome"
Burnout 3: Takedown,"fun,new,fast,perfect,amazing"
Burnout Legends,"choppy,big,console,excellent,smooth"
Burnout Paradise,"new,big,fun,online,awesome"
Burnout Paradise Remastered,"original,old,new,fun,fast"
Burnout Paradise: The Ultimate Box,"new,big,console,excellent,single"
Burnout Revenge,"new,fun,old,awesome,amazing"
Bushido Blade,"thhe,advanced,huge,free,interactive"
Buzz! Quiz World,"quiz,vast,quick,noticable"
CHUCHEL,"interactive,simplistic,rayman,amanita,brilliant"
Call of Duty,"single,new,immersive,russian,intense"
Call of Duty 2,"single,new,original,intense,realistic"
Call of Duty 3,"single,big,new,cod,online"
Call of Duty 4: Modern Warfare,"single,modern,new,online,amazing"
Call of Duty: Advanced Warfare,"new,advanced,old,exo,single"
Call of Duty: Black Ops,"new,modern,single,cod,fun"
Call of Duty: Black Ops II,"new,modern,single,old,cod"
Call of Duty: Black Ops III,"new,advanced,old,fun,cod"
Call of Duty: Modern Warfare 2,"single,modern,new,dedicated,big"
Call of Duty: Modern Warfare 3,"new,modern,single,old,big"
Call of Duty: Modern Warfare Remastered,"original,modern,new,old,infinite"
Call of Duty: United Offensive,"original,single,new,uo,russian"
Call of Duty: World at War,"single,modern,new,cod,nazi"
Capcom vs. SNK 2: Mark of the Millennium 2001,"special,capcom,wrong,multiple,definitive"
Capitalism II,"economic,stanford,original,big,*"
Captain Toad: Treasure Tracker,"super,u,new,easy,nintendo"
Card Hunter (2013),"free,turn-based,tactical,new,standard"
Castle Crashers,"castle,simple,awesome,fun,old"
Castle Crashers Remastered,"easy,=,new,original,free"
CastleStorm,"fun,online,local,angry,unique"
Castlevania: Aria of Sorrow,"easy,favorite,perfect,fun,new"
Castlevania: Circle of the Moon,"big,favorite,difficult,beautiful,secret"
Castlevania: Dawn of Sorrow,"awesome,new,amazing,easy,ds"
Castlevania: Harmony of Dissonance,"easy,atmospheric,weak,big,casual"
Castlevania: Lords of Shadow,"beautiful,new,castlevania,awesome,old"
Castlevania: Lords of Shadow Ultimate Edition,"hard,new,beautiful,fixed,original"
Castlevania: Order of Ecclesia,"hard,new,difficult,easy,old"
Castlevania: Portrait of Ruin,"new,castlevania,dual,special,big"
Castlevania: Symphony of the Night,"new,old,huge,super,amazing"
Catan,"smart,local,online,offline,hard"
Catherine,"interesting,hard,unique,easy,challenging"
Cave Story,"new,original,old,free,final"
Cave Story +,"hard,normal,fantastic,pretty,manual"
Cave Story 3D,"original,amazing,fantastic,cave,new"
Celeste,"hard,difficult,super,beautiful,easy"
Celtic Kings: Rage of War,"celtic,basic,gaulish,counter-educative,non-gaulish"
Champions of Norrath,"dark,new,hack-n-slash,second,rpg"
Chaos Reborn,"original,single,unique,turn-based,magic"
Chessmaster 10th Edition,"fritz,new,fine,working,unacceptable"
Child of Eden,"new,eden,kinect,visual,beautiful"
Child of Light,"beautiful,light,simple,ubisoft,unique"
Children of Zodiarcs,"new,interesting,difficult,small,fun"
Chime Sharp,"sharp,unlocked,sharpa,puzzle,simple.."
Chrono Cross,"chrono,new,final,amazing,beautiful"
Chrono Trigger,"new,original,chrono,top,old"
ChuChu Rocket!,"fab,puzzle,*thumbs,chu-chu"
Cities: Skylines,"sim,new,big,huge,small"
Cities: Skylines - PlayStation 4 Edition,"console,addictive,ps4,large,small"
Cities: Skylines - Xbox One Edition,"original,simple,excellent,occasional,available"
City of Heroes,"fun,super,easy,new,big"
City of Villains,"new,secondary,melee/invulnerable,enjoyable,evil"
Civilization III: Conquests,"civ,iii,addictive,enjoyable,select"
Classic NES Series: Super Mario Bros.,"classic,new,simple,original,super"
Classic NES Series: The Legend of Zelda,"classic,hard,original,fun,big"
Clive Barker's Undying,"scary,excellent,clive,unreal,key"
Closure,"unique,amazing,cool,puzzle,indie"
Clubhouse Games,"online,perfect,weak,single,touch"
Code:Realize - Guardian of Rebirth,"otome,visual,interesting,huge,english"
"Codename: Panzers, Phase One","available,excellent,awesome,numerous,historical"
Colin McRae Rally 04,"new,awesome,racing,original,third"
Colin McRae Rally 2.0,"amazing,remarkable,racing,addictive,challenging"
Colin McRae Rally 2005,"unrealistic,realistic,smooth,terrible,right"
Colin McRae Rally 3,"realistic,perfect,hard,single,gt3"
College Hoops 2K6,"hard,big,buggy,real-feeling,kinetic"
College Hoops 2K7,"hard,fun,immersive,easy,awesome"
College Hoops 2K8,"nba,available,arenas,right,classic"
Colony Wars,"underrated,top,like,charm,obscure"
Colors! 3D,"app,easy,robust,online,worth"
Combat Flight Simulator 2: WWII Pacific Theater,
Combat Mission 3: Afrika Korps,"massive,wax,..,turret,north"
Combat Mission: Barbarossa to Berlin,"strategic,general,simple,perfect.so,horrible"
Comet Crash,"fun,pixel,engaging,military,solid"
Command & Conquer 3: Tiberium Wars,"c,new,single,red,old"
Command & Conquer: Generals,"c,red,easy,usa,new"
Command & Conquer: Generals - Zero Hour,"new,c,general,u,cool"
Command & Conquer: Red Alert,"red,classic,free,new,varied"
Command & Conquer: Red Alert 2,"red,soviet,single,new,alert"
Command & Conquer: Red Alert 2 - Yuri's Revenge,"new,original,red,=,real-time"
Command & Conquer: Red Alert 3,"red,new,c,alert,original"
Commandos 2: Men of Courage,"hard,exciting,difficult,excellent,pretty"
Company of Heroes,"realistic,old,single,new,amazing"
Company of Heroes 2: Ardennes Assault,"proud,german,dlc,hard,possible"
Company of Heroes 2: The Western Front Armies,"new,long,western,terrible,german"
Company of Heroes: Opposing Fronts,"new,original,british,german,amazing"
Condemned 2: Bloodshot,"scary,condemned,u,criminal,crazy"
Condemned: Criminal Origins,"scary,criminal,impressive,original,boring"
Conker's Bad Fur Day,"funny,n64,rare,hilarious,favorite"
Conquest: Frontier Wars,"small,pretty,bio-based,expensive,powerful"
Contra 4,"contra,hard,easy,super,difficult"
Counter-Strike,"old,new,awesome,online,addictive"
Counter-Strike: Global Offensive,"new,competitive,old,counter-strike,global"
Counter-Strike: Source,"new,realistic,old,awesome,easy"
Crackdown,"fun,easy,new,grand,free"
Crash Bandicoot 3: Warped,"crash,new,awesome,naughty,third"
Crash Team Racing,"naughty,mario,favorite,fun,original"
Crashmo,"tricky,hard,new,addictive,goal.this"
Crazy Taxi 2,"que,new,echos,su,cambia"
Crimson Skies,"fantastic,old,unplayable,inventive,fun"
Crimson Skies: High Road to Revenge,"live,awesome,single,original,smooth"
Crisis Core: Final Fantasy VII,"final,original,favorite,amazing,psp"
Critter Crunch,"re-invented,capybara,hand-draw,iconic,funky"
Crusader Kings II,"complex,new,medieval,hard,total"
Crusader Kings II: The Old Gods,"norse,new,old,large,worth"
Crush,"genious.the,several,plataformer,itself.the,solid"
Crypt of the NecroDancer,"unique,difficult,“,new,rhythm"
Crypt of the NecroDancer: Nintendo Switch Edition,"indie,nintendo,responsive,beautiful,new"
Crysis,"amazing,new,awesome,low,fun"
Crysis 2,"original,new,single,amazing,linear"
Crysis Warhead,"original,linear,new,awesome,worth"
Cuphead,"hard,old,difficult,beautiful,amazing"
DCS: Black Shark,"dcs,military,easy,available,special"
DDRMAX2 Dance Dance Revolution,"ddr,cheese-ass,puke-chunk,fun,new"
DDRMAX: Dance Dance Revolution,"agian,new,big,early,ideal"
DEFCON: Everybody Dies,"simple,nuclear,easy,single,amazing"
DG2: Defense Grid 2,"temporal,hard,original,new,useless"
DJ Hero,"hard,fun,fresh,peripheral,turntable"
DJ Hero 2,"new,original,freestyle,solid,innovative"
DJMax Respect,"addictive,hard,challenging,rhythm,future"
DOA2: Hardcore,"fighting,alive,virtual,realistic,new"
DOOM,"new,old,single,original,modern"
Dance Central,"central,kinect,dance,amazing,solid"
Dance Central 2,"central,general,original,side-by-side,unsure"
Dance Central 3,"central,dance,willing,addicting,gangnam"
Dance Dance Revolution,"favorite,awesome,fun,american,addictive"
Dance Dance Revolution Konamix,"american,ps2,new,fun,awesome"
Dance Dance Revolution Ultramix,"x-box,included,hard,fatique,unique"
Danganronpa 1-2 Reload,"visual,danganronpa,hard,1-2,engaging"
Danganronpa 2: Goodbye Despair,"wonderful,new,fantastic,happy,extra"
Danganronpa V3: Killing Harmony,"new,interesting,danganronpa,big,long"
Danganronpa: Trigger Happy Havoc,"visual,interesting,unique,happy,worth"
Dangerous Waters,"entire,naval,innovative,new,fixed-wing"
Dark Age of Camelot,"classic,pvp,new,easy,gear"
Dark Age of Camelot: Catacombs,new
Dark Age of Camelot: Shrouded Isles,internet
Dark Cloud 2,"dark,final,cloud,deep,perfect"
Dark Souls,"dark,hard,difficult,new,easy"
Dark Souls II,"dark,souls,new,hard,easy"
Dark Souls II: Crown of the Ivory King,"souls,new,frozen,big,frigid"
Dark Souls II: Crown of the Old Iron King,"new,old,original,sunken,boring"
Dark Souls II: Crown of the Sunken King,"new,dark,sunken,souls,red"
Dark Souls II: Scholar of the First Sin,"dark,souls,new,original,hard"
Dark Souls III,"dark,souls,new,hard,difficult"
Dark Souls III: The Ringed City,"dark,souls,new,final,favorite"
Dark Souls Remastered,"dark,original,new,souls,old"
Dark Souls: Artorias of the Abyss,"new,dark,dlc,interesting,decent"
Dark Souls: Prepare to Die Edition,"dark,hard,new,console,difficult"
Dark Void Zero,"collect,strong,lasting,short-term.it,simple"
Darkest Dungeon,"dark,new,hard,difficult,easy"
Darksiders,"new,hard,big,fun,easy"
Darksiders II,"new,awesome,big,easy,fun"
Darksiders: Warmastered Edition,"original,new,fantastic,past,unos"
Darkstalkers Resurrection,"hd,fantastic,online,multiple,solid"
Darwinia,"original,second,terrible,difficult,new"
Dave Mirra Freestyle BMX,"enjoyable,new,tony"
Dave Mirra Freestyle BMX 2,"extreme,easy,sweet,u,awesome"
Dawn of Discovery,"anno,new,complex,sim,big"
Daxter,"psp,easy,big,jak,small"
Day of the Tentacle Remastered,"old,new,funny,original,classic"
Daytona USA,"daytona,usa,personal,favourite,fast-paced"
Dead Cells,"new,’,ll,satisfying,hard"
Dead Island,"fun,big,long,single,huge"
Dead Rising,"fun,small,hard,horrible,save"
Dead Space,"scary,survival,new,hard,resident"
Dead Space 2,"new,scary,original,survival,hard"
Dead Space: Extraction,"wii,original,scary,light-gun,on-rails"
Dead or Alive 3,"alive,perfect,easy,original,doa"
Dead or Alive 4,"new,deep,alive,doa,online"
Dead or Alive Ultimate,"alive,original,ultimate,fighting,doa"
Def Jam Vendetta,"new,impressive,massive,def,wcw"
Def Jam: Fight for NY,"awesome,fun,hot,top,excellent"
Defense Grid: The Awakening,"addictive,excellent,free,solid,new"
Demon's Souls,"hard,difficult,dark,souls,new"
Descent 3,"decent,descent,old,quick,free"
Desktop Dungeons,"hard,alpha,functional,perfect,difficult"
Destiny 2,"destiny,new,original,big,boring"
Destiny: The Taken King,"new,destiny,original,old,worth"
Detention,"horror,’,unique,s,atmospheric"
Deus Ex,"deus,new,old,human,original"
Deus Ex: Human Revolution,"original,human,deus,big,interesting"
Deus Ex: Human Revolution - Director's Cut,"human,new,u,deus,deep"
Deus Ex: Invisible War,"original,invisible,new,deus,big"
Deus Ex: Mankind Divided,"human,new,deus,single,big"
Deus Ex: Mankind Divided - A Criminal Past,"criminal,mixed,ex,important,cp"
Deus Ex: The Conspiracy,"deus,original,dated,huge,worth"
Devil Daggers,"simple,devil,addictive,difficult,hellish"
Devil May Cry,"hard,cool,easy,awesome,new"
Devil May Cry 3: Dante's Awakening,"hard,easy,original,difficult,cool"
Devil May Cry 3: Special Edition,"new,special,hard,dmc,awesome"
Devil May Cry 4,"new,hard,dmc,old,easy"
DiRT,"hard,forza,realistic,amazing,fun"
DiRT 2,"hard,excellent,awesome,beautiful,long"
DiRT 3,"new,easy,big,realistic,awesome"
DiRT 4,"new,procedural,’,free,fun"
DiRT Rally,"realistic,hard,early,old,new"
Diablo,"old,new,perfect,original,scary"
Diablo II,"new,old,single,addictive,original"
Diablo II: Lord of Destruction,"new,original,single,addictive,awesome"
Diablo III,"single,new,big,online,long"
Diablo III: Reaper of Souls,"new,original,big,old,long"
Diablo III: Ultimate Evil Edition,"new,easy,big,perfect,addictive"
Diddy Kong Racing,"mario,amazing,single,kong,hard"
Dino Crisis 2,"enjoyable,resident,dino,huge,worth"
Disciples II: Dark Prophecy,"detailed,classic,immersive,beautiful,boring"
Disgaea 2: Cursed Memories,"new,deep,complete,tall,big"
Disgaea 2: Dark Hero Days,"disgaea,new,playable,nippon,favorite"
Disgaea 4: A Promise Revisited,"new,tactical,deep,stupid,disgaea"
Disgaea 5 Complete,"new,tactical,disgaea,old,several"
Disgaea 5: Alliance of Vengeance,"new,disgaea,weird,particular,hard"
Disgaea DS,"disgaea,nintendo,ds,load,orignal"
Disgaea: Afternoon of Darkness,"deep,japanese,addictive,ps2,disgaea"
Disgaea: Hour of Darkness,"funny,interesting,solid,long,une"
Dishonored,"new,interesting,unique,hard,dishonored"
Dishonored 2,"new,dishonored,original,big,old"
Dishonored: Death of the Outsider,"dishonored,new,interesting,’,excellent"
Dishonored: The Brigmore Witches,"flawless,enjoyable,corvos,standalone,this.this"
Disney Infinity 3.0 Edition,"old,young,fun,enjoyable,starter"
Disney's Toontown Online,"toontown,private,glad,new,low"
Divine Divinity,"dark,beautiful,ultima,busy,fun"
Divinity II: The Dragon Knight Saga,"interesting,big,excellent,small,fun"
Divinity: Original Sin,"original,old,larian,new,turn-based"
Divinity: Original Sin Enhanced Edition,"original,turn-based,easy,old,long"
Divinity: Original Sin II,"original,larian,hard,new,old"
Divinity: Original Sin II - Definitive Edition,"original,deep,“,physical,ps4"
DmC: Devil May Cry,"new,old,easy,original,dmc"
DmC: Devil May Cry Definitive Edition,"new,original,definitive,dmc,ninja"
Dominions 3: The Awakening,"huge,complex,deep,excellent,endless"
Donkey Kong 64,"kong,old,perfect,golden,huge"
Donkey Kong Country Returns,"kong,original,new,hard,old"
Donkey Kong Country Returns 3D,"kong,new,original,wii,hard"
Donkey Kong Country: Tropical Freeze,"kong,new,hard,unique,amazing"
Donkey Kong Jungle Beat,"fun,kong,entertaining,donkey,stupid"
Doom,"original,old,modern,awesome,fun"
Doom 3,"scary,original,old,new,dark"
Door Kickers,"tactical,new,old,perfect,paced"
Dota 2,"new,give,diretidegive,diretide,dota"
Downwell,"fun,hard,excellent,late,unfair"
Dragon Age II,"dragon,new,big,original,hard"
Dragon Age: Inquisition,"tactical,big,new,huge,dragon"
Dragon Age: Origins,"interesting,old,new,dragon,long"
Dragon Age: Origins - Awakening,"new,original,interesting,easy,dragon"
Dragon Ball FighterZ,"fighting,easy,new,guilty,casual"
Dragon Quest Builders,"new,free,’,addictive,unique"
Dragon Quest Heroes: Rocket Slime,"easy,single,new,hilarious,nintendo"
Dragon Quest IV: Chapters of the Chosen,"old,dragon,enhanced,classic,warrior"
Dragon Quest IX: Sentinels of the Starry Skies,"old,new,perfect,ds,classic"
Dragon Quest V: Hand of the Heavenly Bride,"new,amazing,simple,deep,classic"
Dragon Quest VII: Fragments of the Forgotten Past,"long,original,classic,dragon,present"
Dragon Quest VIII: Journey of the Cursed King,"final,old,awesome,ps2,favorite"
Dragon Quest Wars,"intelligent,tabletop,dsi,local,single"
Dragon Quest XI: Echoes of an Elusive Age,"old,perfect,fantastic,big,new"
Dragon's Crown,"golden,beautiful,old,fantastic,big"
Dragon's Dogma: Dark Arisen,"dark,new,hard,big,interesting"
Drill Dozer,"fun,classic,lovable,vibrant,2-d"
Driver,"original,fantastic,classic,driving,amazing"
Driver: San Francisco,"san,original,interesting,excellent,fun"
Duelyst,"strategic,general,daily,free,easy"
Duke Nukem 3D,"duke,old,nukem,classic,fun"
Duke Nukem Advance,"nukem,duke,new,available,small"
Dungeon Defenders,"new,fun,easy,unique,single"
Dungeon Siege,"easy,old,huge,amazing,stupid"
Dungeon Siege II,"easy,old,simple,original,beautiful"
