Title,labels
'Splosion Man,"awesome,difficult,challenging,worth,humourous"
007: The World is Not Enough,"perfect,rare,enjoyable,several,goldeneye"
2010 FIFA World Cup South Africa,"fifa,awesome,fun,ea,special"
3D After Burner II,"arcade,big,original,old,avid"
3D Gunstar Heroes,"new,hard,gunstar,seminal,original"
3D Out Run,"new,sega,arcade,original,smooth"
3D Sonic the Hedgehog 2,"sonic,original,new,oldschool,u"
3D Streets of Rage II,"small,retro,sharp,definitive,bright"
80 Days (2015),"verne,mixed,huge,le,unforeseen"
ABZU,"beautiful,gorgeous,pretty,underwater,amazing"
ATV Offroad Fury,"fun,stupid,realistic,smooth,gigantic"
ATV Offroad Fury 2,"al,nfs,pistas,ojala,muy"
AaaaaAAaaaAAAaaAAAAaAAAAA!!!: A Reckless Disregard for Gravity,"enjoyable,simple,interesting,late,unique"
Ace Combat 04: Shattered Skies,"low,excellent,awesome,ps2,enemy"
Ace Combat 2,"funny,modern,genre,solid,plane"
Ace Combat 5: The Unsung War,"new,perfect,incredible,memorable,beautiful"
Ace Combat 6: Fires of Liberation,"arcade,fun,exclusive,big,hard"
Act of War: Direct Action,"perfect,minor,stargagie,hard,live"
Advance Wars,"addictive,tutorial,gba,awesome,fire"
Advance Wars 2: Black Hole Rising,"new,hard,easy,original,tactical"
Advance Wars: Days of Ruin,"dual,new,old,fun,co"
Advance Wars: Dual Strike,"dual,hard,easy,new,long"
Affordable Space Adventures,"unique,co-op,worth,excellent,new"
Age of Conan: Hyborian Adventures,"new,awesome,old,amazing,big"
Age of Conan: Rise of the Godslayer,"new,interesting,awesome,fantastic,mmo"
Age of Empires,"long,awesome,classic,old,second"
Age of Empires II: The Age of Kings,"old,new,easy,awesome,classic"
Age of Empires II: The Conquerors Expansion,"new,additional,top,modern,awesome"
Age of Empires III,"new,aoe,interesting,ensemble,easy"
Age of Empires III: The Asian Dynasties,"new,asian,unique,original,big"
Age of Empires III: The WarChiefs,"american,native,original,aoe,new"
Age of Empires: The Age of Kings,"easy,hard,fun,worth,impossible"
Age of Mythology,"good.i,favorite,old,new,ensemble"
Age of Mythology: The Titans,"new,original,fun,online,big"
Age of Wonders II: The Wizard's Throne,"fine,easy,clumsy,addictive,enjoyable"
Age of Wonders III - Eternal Lords,"new,eternal,necromancer,undead,huge"
Age of Wonders III - Golden Realms,"new,wild,unique,interesting,fun"
Age of Wonders: Shadow Magic,"excellent,new,top,actual,awesome"
Aggressive Inline,"inline,tony,aggressive,fantastic,easy"
Airborne Assault: Highway to the Reich,"offensive,defensive,nominated,long,asap"
Alan Wake,"alan,interesting,scary,unique,linear"
Alien: Isolation,"alien,original,hard,long,scary"
Aliens Versus Predator 2,"original,easy,difficult,scary,fps"
All-Star Baseball 2003,"slow,ninth,new,franchise,irritating"
Allegiance,"1999-2001,responsive,microsoft,vibrant,excellent"
Alundra,"complex,old,excellent,anime,masterpiece"
America's Army,"realistic,awesome,boring,complete,important"
American McGee's Alice,"american,easy,interesting,hard,beautiful"
Amnesia: The Dark Descent,"scary,dark,survival,frictional,amazing"
Amplitude,"incredible,amplitude,.2,new,graphic"
Anarchy Online: Shadowlands,"new,huge,suspicious,frozen,fantastic"
And Yet It Moves,"super,virtual,play-through,brilliant,plat-former"
Animal Crossing,"animal,addictive,old,new,simple"
Animal Crossing: New Leaf,"new,animal,nintendo,public,big"
Animal Crossing: Wild World,"new,animal,fun,wild,big"
Anno 2070,"anno,new,ubisoft,big,long"
Anomaly: Warzone Earth,"easy,interesting,unique,new,simple"
Antichamber,"portal,new,puzzle,hard,unique"
Antihero,"amazing,top,snowball,addictive,second"
Ape Escape,"new,hard,fun,orginal,uso"
Ape Escape 2,"funny,big,hard,definite,lovely"
Aquaria,"beautiful,underwater,interesting,simple,intuitive"
Aragami: Shadow Edition,"’,enjoyable,aragami,shadow,big"
Arcanum: Of Steamworks and Magick Obscura,"old,amazing,interesting,fantastic,deep"
Armadillo Run,"incredible,cute,simple,effective,old"
Art Academy: Home Studio,"educational,useful,playful,social,informative"
Art Academy: Lessons for Everyone,"famous,undo,top,new,interesting"
Art Style: ORBIENT,"small,simple,art,big,aroundthe"
Art Style: PiCTOBiTS,"amazing,dsi,tetris,awesome,top"
Art of Balance,"simple,cheap,brief,pleased,touch"
Art of Balance Touch!,"easy,solid,relaxing,right,fair"
Asheron's Call,"new,sandbox,unique,wonderful,deep"
Asheron's Call 2: Fallen Kings,"online,sad,accessible,easy,monthly"
Assassin's Creed,"interesting,boring,ubisoft,fun,new"
Assassin's Creed II,"original,new,ubisoft,amazing,interesting"
Assassin's Creed III,"new,ac,ubisoft,naval,big"
Assassin's Creed IV: Black Flag,"new,ac,naval,ubisoft,amazing"
Assassin's Creed Origins,"ubisoft,new,ac,big,beautiful"
Assassin's Creed Origins: The Curse of the Pharaohs,"new,large,hidden,unique,original"
Assassin's Creed: Brotherhood,"new,ac,amazing,ubisoft,easy"
Assassin's Creed: Revelations,"new,ac,ubisoft,big,interesting"
Assault Android Cactus,"twin-stick,unique,interesting,fun,awesome"
Assetto Corsa,"assetto,early,realistic,available,perfect"
Astebreed,"arcade,japanese,spiritual,normal,casual"
Astro Boy: Omega Factor,"licenced,western,hot,popular,astro"
Atlas Reactor,"free,unique,new,quick,dynamic"
AudioSurf,"addictive,favorite,simple,fun,awesome"
Axiom Verge,"axiom,new,super,metroid,original"
Azure Striker Gunvolt: Striker Pack,"large,easy,gunvolt,final,original"
B-17 Flying Fortress: The Mighty 8th,excellent
BROFORCE,"generic,easy,awesome,amazing,american"
Bad Request,"new,hard,ubisoft,enjoyable,fantastic"
Baldur's Gate,"hard,old,modern,interesting,new"
Baldur's Gate II: Shadows of Amn,"epic,deep,old,new,fantastic"
Baldur's Gate II: Throne of Bhaal,"fantastic,gate,epic,new,original"
Baldur's Gate: Dark Alliance,"new,d,magic,fun,cool"
Bangai-O,"huge,robot,dang,disappointed,akward"
Bangai-O Spirits,"hard,bangai-o,arcade,on-screen,spectacular"
Banjo-Kazooie,"amazing,n64,rare,super,banjo-kazooie"
Banjo-Tooie,"original,fun,favorite,rare,large"
Bastion,"beautiful,new,amazing,unique,simple"
Batman: Arkham Asylum,"batman,amazing,arkham,easy,excellent"
Batman: Arkham City,"arkham,new,batman,big,amazing"
Batman: Arkham City - Armored Edition,"u,arkham,wii,big,awesome"
Batman: Arkham Knight,"arkham,new,batman,big,amazing"
Batman: The Enemy Within - Episode 5: Same Stitch,"telltale,ambiscous,telltale.this,technical,exceptional"
Batman: The Telltale Series - Episode 2: Children of Arkham,"telltale,series-,significant"
Battle Brothers,"tactical,hard,medieval,easy,turn-based"
Battle Chasers: Nightwar,"’,noteworthy,classic,big,solid"
Battle Chef Brigade,"fantasy,hard,actual,amazing,fun"
Battle Realms,"unplayable,revolutionary,hectic,young,old"
BattleBlock Theater,"castle,funny,fun,hilarious,new"
Battlefield 1,"single,new,amazing,battlefield,big"
Battlefield 1942,"single,battlefield,realistic,free,fun"
Battlefield 1942: The Road to Rome,"new,secret,free,original,several"
Battlefield 1943,"arcade,online,battlefield,original,live"
Battlefield 2,"new,old,online,fun,huge"
Battlefield 3,"single,new,amazing,big,realistic"
Battlefield 3: Armored Kill,"new,big,huge,beautiful,favorite"
Battlefield 3: Back to Karkand,"new,free,classic,small,map"
Battlefield 4,"new,single,big,huge,amazing"
Battlefield Vietnam,"awesome,vietnam,new,secret,buggy"
Battlefield: Bad Company,"single,fun,new,huge,destructible"
Battlefield: Bad Company 2,"single,modern,new,big,fun"
Battlefield: Bad Company 2 Vietnam,"new,vietnam,original,amazing,fantastic"
Battlerite,"free,new,lo,easy,es"
Bayonetta,"top,hard,fun,normal,fantastic"
Bayonetta + Bayonetta 2,"nintendo,portable,es,que,los"
Bayonetta 2,"u,amazing,original,new,nintendo"
Beetle Adventure Racing,"hidden,long,creative,interesting,interactive"
Bejeweled 3,"bejeweled,awesome,low,vs,big"
Beyond Good & Evil,"evil,easy,amazing,cool,beautiful"
Beyond Good & Evil HD,"evil,original,enjoyable,big,critical"
BioShock,"big,amazing,new,unique,perfect"
BioShock 2,"big,original,new,interesting,second"
BioShock 2: Minerva's Den,"new,fun,available,content,deleted"
BioShock Infinite,"original,amazing,beautiful,new,interesting"
BioShock Infinite: Burial at Sea - Episode Two,"new,final,downloadable,irrational,original"
BioShock: The Collection,"original,new,third,console,significant"
