Num,Title,Year,Publisher,Genre,Platform,No_Players,Userscore,labels
78,Madden NFL 2004,2003,EATiburon,Sports;Traditional;Football;Sim,PlayStation2,1-8 ,8.26,"madden,new,realistic,espn,nfl"
79,Gears of War,2006,EpicGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,8  Online,7.6,"single,online,new,awesome,big"
80,The Elder Scrolls IV: Oblivion,2006,BethesdaSoftworks,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,No Online Multiplayer,8.11,"huge,new,big,amazing,beautiful"
81,Sid Meier's Civilization II,1996,MPSLabs,Strategy;Turn-Based;Historic;General;Historic;4X,PC,1 Player,9.63,"civ,addictive,excellent,old,new"
82,Quake,1996,idSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,1-16 ,9.56,"old,fps,classic,single,modern"
83,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Xbox360,Up to 18 ,8.56,"single,modern,new,online,amazing"
84,BioShock Infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,No Online Multiplayer,8.24,"original,amazing,beautiful,new,interesting"
85,Halo 3,2007,"BungieSoftware,Bungie",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,1-4 ,7.47,"new,single,amazing,fun,awesome"
86,Ninja Gaiden Black,2005,TeamNinja,Action Adventure;Fantasy,Xbox,1 Player,8.54,"hard,ninja,easy,original,difficult"
87,The Elder Scrolls IV: Oblivion,2006,BethesdaSoftworks,Role-Playing;First-Person;First-Person;Western-Style,PC,No Online Multiplayer,8.11,"huge,new,big,amazing,beautiful"
88,Street Fighter IV,2009,Capcom,Action;Fighting;Fighting;3D;2D;3D,PlayStation3,2  Online,7.16,"new,hard,old,easy,super"
89,Celeste,2018,MattMakesGamesInc.,Action;Platformer;2D,XboxOne,No Online Multiplayer,8.64,"hard,difficult,super,beautiful,easy"
90,Super Mario Advance 4: Super Mario Bros. 3,2003,Nintendo,Action;Platformer;2D,GameBoyAdvance,1-4 ,8.79,"super,original,hard,perfect,classic"
91,Jet Grind Radio,2000,Smilebit,Action;Platformer;3D,Dreamcast,not specified,8.5,"early,second,awesome,unplayable,late"
92,Metal Gear Solid,1998,KCEJ,Action Adventure;Modern,PlayStation,1 Player,9.61,"solid,new,old,amazing,metal"
93,Grim Fandango,1998,LucasArts,Adventure;General;General;3D;Third-Person;Fantasy,PC,No Online Multiplayer,9.79,"grim,old,funny,monkey,new"
94,Tom Clancy's Splinter Cell Chaos Theory,2005,UbisoftMontreal,Action Adventure;Modern,Xbox,4  Online,8.86,"new,amazing,single,hard,xbox"
95,Burnout 3: Takedown,2004,CriterionGames,Driving;Racing;Arcade,Xbox,8  Online,9.13,"fun,new,fast,perfect,amazing"
96,Diablo,1996,BlizzardEntertainment,Role-Playing;Action RPG;Action RPG,PC,1-4 ,8.81,"old,new,perfect,original,scary"
97,Metal Gear Solid 3: Subsistence,2006,Aspect,Action Adventure;Modern,PlayStation2,8  Online,9.07,"solid,gear,new,original,amazing"
98,Call of Duty: Modern Warfare 2,2009,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Xbox360,Up to 18 ,5.28,"single,modern,new,dedicated,big"
99,Metal Gear Solid 4: Guns of the Patriots,2008,KojimaProductions,Action Adventure;Modern;General;Modern,PlayStation3,Up to 16 ,8.67,"solid,amazing,long,perfect,old"
100,NCAA Football 2004,2003,EASports,Sports;Traditional;Football;Sim,PlayStation2,1-8 ,8.96,"dynasty,ncaa,madden,new,online"
101,God of War,2005,SCESantaMonica,Action Adventure;Fantasy,PlayStation2,1 Player,9.19,"new,amazing,perfect,old,beautiful"
102,Star Wars: Knights of the Old Republic,2003,BioWare,Role-Playing;Third-Person,Xbox,1 Player,8.97,"old,amazing,dark,favorite,light"
103,Sid Meier's Civilization IV,2005,FiraxisGames,Strategy;Turn-Based;Historic;Historic;4X,PC,12  Online,7.37,"civ,new,old,big,huge"
104,Madden NFL 2004,2003,EATiburon,Sports;Traditional;Football;Sim,GameCube,1-4 ,8.26,"madden,new,realistic,espn,nfl"
105,Virtua Fighter 4,2002,SegaAM2,Action;Fighting;3D,PlayStation2,1-2 ,7.46,"new,tekken,original,sega,manual"
106,Super Mario 64,1996,Nintendo,Action;Platformer;3D,Nintendo64,1 Player,9.11,"super,new,amazing,classic,favorite"
107,The Witcher 3: Wild Hunt,2015,CDProjektRedStudio,Action RPG;Role-Playing;Action RPG,PC,No Online Multiplayer,9.01,"amazing,beautiful,huge,new,perfect"
108,Burnout 3: Takedown,2004,CriterionGames,Driving;Racing;Arcade,PlayStation2,1-16 ,9.13,"fun,new,fast,perfect,amazing"
109,Super Smash Bros. Brawl,2008,GameArts,Action;Fighting;Fighting;3D;2D;3D,Wii,Up to 4 ,8.57,"new,super,nintendo,online,single"
110,Company of Heroes,2006,Relic,Strategy;Real-Time;Historic;General;Historic,PC,8  Online,8.72,"realistic,old,single,new,amazing"
111,Gran Turismo 2,1999,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation,1-2 ,8.64,"fun,new,arcade,au,y"
112,Tom Clancy's Splinter Cell Pandora Tomorrow,2004,UbisoftShanghai,Action Adventure;Modern,Xbox,1-4 ,8.79,"single,linear,new,live,awesome"
113,Grand Theft Auto: Chinatown Wars,2009,RockstarLeeds,Action Adventure;Modern;Modern;Open-World,DS,not specified,8.35,"gta,chinatown,grand,new,u"
114,Pac-Man Championship Edition DX,2010,NamcoBandaiGames,Adventure;General;Action;General;General;Arcade,Xbox360,not specified,8.81,"pac-man,new,original,old,classic"
115,Street Fighter Alpha 3,1999,Capcom,Action;Fighting;2D,PlayStation,1-2 ,9.13,"favorite,nostalgic,flawless,exquisite,bright"
116,Tony Hawk's Pro Skater 3,2002,NeversoftEntertainment,Sports;Alternative;Skateboarding,Xbox,1-4 ,8.17,"new,tony,pro,awesome,fantastic"
117,Divinity: Original Sin II,2017,LarianStudios,Action RPG;Role-Playing;Western-Style,PC,Online Multiplayer,8.93,"original,larian,hard,new,old"
118,Unreal Tournament 2004,2004,EpicGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,1-32 ,9.61,"unreal,awesome,amazing,single,new"
119,BioShock Infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,No Online Multiplayer,8.24,"original,amazing,beautiful,new,interesting"
120,Braid,2008,NumberNoneInc.,Action;Platformer;Platformer;2D;2D,Xbox360,1 Player,8.54,"beautiful,unique,simple,hard,new"
121,God of War II,2007,SCESantaMonica,Action Adventure;Fantasy,PlayStation2,1 Player,8.78,"original,new,amazing,hard,awesome"
122,Super Mario 3D World,2013,Nintendo,Platformer;3D;Action;Platformer;3D,WiiU,No Online Multiplayer,9.03,"new,super,easy,amazing,fun"
123,Starcraft II: Wings of Liberty,2010,BlizzardEntertainment,Strategy;Real-Time;Sci-Fi;Command,PC,Up to 4 ,7.68,"new,original,single,old,big"
124,SSX,2000,EASportsBig,Sports;Alternative;Snowboarding,PlayStation2,1-2 ,6.57,"ssx,new,tricky,big,long"
125,Street Fighter IV,2009,Capcom,Action;Fighting;Fighting;3D;2D;3D,Xbox360,2  Online,7.16,"new,hard,old,easy,super"
126,Minecraft,2009,MojangAB,Action Adventure;Adventure;3D;Sandbox;First-Person;Fantasy;Fantasy,PC,Up to 10 ,7.57,"new,creative,fun,simple,boring"
127,Persona 5,2017,Atlus,Role-Playing;Japanese-Style,PlayStation4,No Online Multiplayer,9.29,"persona,new,long,amazing,social"
128,Persona 4 Golden,2012,Atlus,Role-Playing;Console-style RPG;Console-style RPG;Japanese-Style,PlayStationVita,Up to 40 ,9.52,"golden,new,persona,social,amazing"
129,SSX 3,2003,EACanada,Sports;Alternative;Snowboarding,PlayStation2,1-2 ,9.57,"huge,ssx,awesome,fantastic,big"
130,Tom Clancy's Splinter Cell,2002,UbisoftMontreal,Action Adventure;Modern,Xbox,1 Player,8.34,"linear,awesome,solid,original,realistic"
131,Grand Theft Auto III,2002,"DMADesign,RockstarNorth",Action Adventure;Modern;Modern;Open-World,PC,No Online Multiplayer,8.36,"grand,gta,san,u,awesome"
132,Quake III Arena,2000,Raster,Action;Shooter;First-Person;Sci-Fi,Dreamcast,not specified,6.5,"single,cool,u,dumb,difficult"
133,Homeworld,1999,Relic,Strategy;Real-Time;Sci-Fi;Sci-Fi;General,PC,1-8 ,9.59,"single,amazing,hard,tactical,old"
134,Okami,2006,CloverStudio,Action Adventure;Fantasy,PlayStation2,1 Player,9.1,"beautiful,japanese,amazing,easy,perfect"
135,The Elder Scrolls IV: Oblivion,2007,4JStudios,Role-Playing;First-Person;First-Person;Western-Style,PlayStation3,No Online Multiplayer,8.11,"huge,new,big,amazing,beautiful"
136,Fallout 3,2008,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,No Online Multiplayer,8.04,"new,huge,interesting,big,amazing"
137,Gears of War 2,2008,EpicGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,1-2 ,7.05,"new,big,original,single,awesome"
138,SoulCalibur II,2003,Namco,Action;Fighting;3D,GameCube,1-2 ,9.04,"new,awesome,fantastic,excellent,original"
139,World Soccer Winning Eleven 6 International,2003,KCET,Sports;Traditional;Soccer;Sim,PlayStation2,1-8 ,9.86,"addictive,realistic,deep,crazy,superb"
140,NFL 2K3,2002,VisualConcepts,Sports;Traditional;Football;Sim,PlayStation2,1-2 ,7.67,"sega,nfl,madden,mega,live"
141,Mass Effect 3,2012,BioWare,Role-Playing;Action RPG;Action RPG,Xbox360,Up to 4 ,5.23,"new,big,final,entire,amazing"
142,Metal Gear Solid V: The Phantom Pain,2015,"KojimaProductions,MobyDickStudio",Modern;Action Adventure;Modern;Open-World,PlayStation4,Up to 16 ,8.02,"solid,big,gear,new,perfect"
143,Skies of Arcadia,2000,Overworks,Role-Playing;Console-style RPG,Dreamcast,not specified,9.85,"ship,amazing,rpg,memorable,favorite"
144,The Legend of Zelda: Skyward Sword,2011,Nintendo,Action Adventure;Fantasy;General;Fantasy;Open-World,Wii,No Online Multiplayer,8.66,"new,zelda,amazing,wii,perfect"
145,Mario Kart Super Circuit,2001,IntelligentSystems,Driving;Racing;Kart,GameBoyAdvance,1-4 ,7.25,"super,mario,original,fun,flat"
146,Rock Band 3,2010,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,not specified,8.47,"pro,new,old,easy,available"
147,Viewtiful Joe,2003,CloverStudio,Action;Beat-'Em-Up,GameCube,1 Player,8.36,"viewtiful,innovative,original,creative,fun"
148,Test Drive Le Mans,2000,MelbourneHouse,Driving;Racing;GT / Street,Dreamcast,not specified,10.0,absolut
149,NBA 2K1,2000,VisualConcepts,Sports;Traditional;Basketball;Sim,Dreamcast,not specified,,
150,Castlevania: Symphony of the Night,1997,Konami,Action;Platformer;2D,PlayStation,1 Player,9.46,"new,old,huge,super,amazing"
151,Star Wars: Knights of the Old Republic,2003,BioWare,Role-Playing;Third-Person;Third-Person;General,PC,No Online Multiplayer,8.97,"old,amazing,dark,favorite,light"
152,Virtua Fighter 4: Evolution,2003,Sega,Action;Fighting;3D,PlayStation2,1-2 ,9.58,"new,tekken,virtua,awesome,big"
153,Uncharted 4: A Thief's End,2016,NaughtyDog,General;Modern;Action Adventure;Linear,PlayStation4,Up to 10 ,9.13,"uncharted,naughty,amazing,new,nathan"
154,Braid,2009,"HotheadGames,NumberNoneInc.",Action;Platformer;Platformer;2D;2D,PlayStation3,1 Player,8.54,"beautiful,unique,simple,hard,new"
155,Mass Effect 3,2012,BioWare,Role-Playing;Action RPG;Action RPG,PlayStation3,Up to 4 ,5.23,"new,big,final,entire,amazing"
156,Paper Mario,2001,IntelligentSystems,Role-Playing;Console-style RPG,Nintendo64,not specified,9.38,"unique,simple,super,nintendo,classic"
157,Wipeout XL,1996,Psygnosis,Driving;Racing;Futuristic,PlayStation,1-2 ,9.0,"favorite,top,amazing,electronic,licensed"
158,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern,Xbox,1-2 ,8.8,"san,gta,big,grand,new"
159,INSIDE,2016,PLAYDEAD,Action;Platformer;2D,XboxOne,not specified,8.57,"beautiful,unique,simple,easy,long"
160,World of Warcraft,2004,BlizzardEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy;Fantasy,PC,Massively Multiplayer,6.64,"new,old,big,long,easy"
161,Grand Theft Auto: San Andreas,2005,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,No Online Multiplayer,8.8,"san,gta,big,grand,new"
162,Flipnote Studio,2009,Nintendo,Miscellaneous;General;Application,DS,not specified,8.85,"free,popular,impressive,sound,flip"
163,World Soccer Winning Eleven 7 International,2004,KCET,Sports;Traditional;Soccer;Sim,PlayStation2,1-8 ,8.84,"awesome,instant,fifa,new,realistic"
164,NBA 2K2,2001,VisualConcepts,Sports;Traditional;Basketball;Sim,Dreamcast,not specified,8.82,"nba,deep,disappointing,incomplete,realistic"
165,SoulCalibur II,2003,Namco,Action;Fighting;3D,PlayStation2,1-2 ,9.04,"new,awesome,fantastic,excellent,original"
166,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PlayStation3,No Online Multiplayer,7.15,"skyrim,new,huge,amazing,big"
167,Prince of Persia: The Sands of Time,2003,Ubisoft,Action Adventure;Fantasy,Xbox,1 Player,8.37,"amazing,fun,awesome,easy,new"
168,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PC,Up to 18 ,8.56,"single,modern,new,online,amazing"
169,Divinity: Original Sin II - Definitive Edition,2018,LarianStudios,Role-Playing;Western-Style,PlayStation4,Online Multiplayer,9.19,"original,deep,“,physical,ps4"
170,God of War III,2010,SCESantaMonica,Action Adventure;Fantasy;Fantasy;Linear,PlayStation3,No Online Multiplayer,9.14,"amazing,new,epic,beautiful,awesome"
171,NFL 2K3,2002,VisualConcepts,Sports;Traditional;Football;Sim,GameCube,1-4 ,7.67,"sega,nfl,madden,mega,live"
172,SSX Tricky,2001,EACanada,Sports;Alternative;Snowboarding,PlayStation2,1-2 ,9.27,"ssx,tricky,excellent,fun,awesome"
173,NHL 2002,2001,EASports,Sports;Traditional;Ice Hockey;Sim,PlayStation2,1-8 ,8.45,"nhl,net,hockey,incomplete,sux"
174,Guitar Hero II,2007,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,1-2 ,8.91,"new,easy,hard,original,big"
175,Prince of Persia: The Sands of Time,2003,Ubisoft,Action Adventure;Fantasy,PlayStation2,1 Player,8.37,"amazing,fun,awesome,easy,new"
176,Uncharted 3: Drake's Deception,2011,NaughtyDog,Action Adventure;Modern;Modern;Linear,PlayStation3,Up to 10 ,8.8,"uncharted,naughty,amazing,new,perfect"
177,Rock Band,2007,HarmonixMusicSystems,Action;Miscellaneous;Rhythm;Music;Music,Xbox360,4  Online,8.13,"fun,amazing,new,old,awesome"
