Num,Title,Year,Publisher,Genre,Platform,No_Players,Userscore,labels
0,The Legend of Zelda: Ocarina of Time,1998,Nintendo,Action Adventure;Fantasy,Nintendo64,1 Player,9.49,"perfect,amazing,old,new,favorite"
1,Tony Hawk's Pro Skater 2,2000,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation,1-2 ,8.12,"tony,pro,awesome,hard,new"
2,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PlayStation3,1 Player,7.09,"gta,san,new,grand,realistic"
3,SoulCalibur,1999,Namco,Action;Fighting;3D,Dreamcast,1-2 ,9.57,"fighting,beautiful,easy,awesome,amazing"
4,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,Xbox360,1 Player,7.09,"gta,san,new,grand,realistic"
5,Super Mario Galaxy,2007,Nintendo,Action;Platformer;Platformer;3D;3D,Wii,No Online Multiplayer,9.19,"super,new,perfect,easy,amazing"
6,Super Mario Galaxy 2,2010,NintendoEADTokyo,Action;Platformer;Platformer;3D;3D,Wii,No Online Multiplayer,9.15,"super,new,original,amazing,perfect"
7,Grand Theft Auto V,2014,RockstarNorth,Action Adventure;Modern;Open-World,XboxOne,Up to 30 ,7.93,"gta,new,grand,big,single"
8,Grand Theft Auto V,2013,RockstarNorth,Modern;Action Adventure;Modern;Open-World,PlayStation3,Up to 16 ,7.93,"gta,new,grand,big,single"
9,Grand Theft Auto V,2013,RockstarNorth,Modern;Action Adventure;Modern;Open-World,Xbox360,Up to 16 ,7.93,"gta,new,grand,big,single"
10,Tony Hawk's Pro Skater 2,2000,Treyarch,Sports;Alternative;Skateboarding,Dreamcast,not specified,8.12,"tony,pro,awesome,hard,new"
11,The Legend of Zelda: Breath of the Wild,2017,Nintendo,Action Adventure;Open-World,Switch,No Online Multiplayer,9.13,"new,perfect,beautiful,wild,amazing"
12,Tony Hawk's Pro Skater 3,2001,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation2,1-2 ,8.17,"new,tony,pro,awesome,fantastic"
13,Perfect Dark,2000,RareLtd.,Action;Shooter;First-Person;Sci-Fi,Nintendo64,not specified,9.44,"perfect,single,classic,dark,n64"
14,Grand Theft Auto V,2014,RockstarNorth,Action Adventure;Modern;Open-World,PlayStation4,Up to 30 ,7.93,"gta,new,grand,big,single"
15,Metroid Prime,2002,RetroStudios,Action;Shooter;First-Person;Sci-Fi,GameCube,1 Player,9.35,"metroid,prime,perfect,amazing,awesome"
16,Grand Theft Auto III,2001,DMADesign,Action Adventure;Modern,PlayStation2,1 Player,8.36,"grand,gta,san,u,awesome"
17,Super Mario Odyssey,2017,Nintendo,Action;Platformer;3D,Switch,No Online Multiplayer,9.17,"new,super,easy,nintendo,cappy"
18,Halo: Combat Evolved,2001,BungieSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,1-4 ,8.3,"amazing,new,perfect,awesome,original"
19,NFL 2K1,2000,VisualConcepts,Sports;Traditional;Football;Sim,Dreamcast,not specified,9.44,"visual,general,low,old,top-notch"
20,Half-Life 2,2004,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,No Online Multiplayer,8.98,"half-life,half,amazing,new,awesome"
21,Grand Theft Auto V,2015,RockstarNorth,Modern;Action Adventure;Open-World,PC,Up to 32 ,7.93,"gta,new,grand,big,single"
22,The Legend of Zelda: Breath of the Wild,2017,Nintendo,Fantasy;Fantasy;Action Adventure;Open-World,WiiU,No Online Multiplayer,9.13,"new,perfect,beautiful,wild,amazing"
23,BioShock,2007,"IrrationalGames,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,No Online Multiplayer,8.34,"big,amazing,new,unique,perfect"
24,GoldenEye 007,1997,RareLtd.,Action;Shooter;First-Person;Modern,Nintendo64,1-4 ,8.87,"original,classic,n64,old,perfect"
25,Uncharted 2: Among Thieves,2009,NaughtyDog,Action Adventure;Modern;Modern;Linear,PlayStation3,No Online Multiplayer,9.2,"uncharted,amazing,perfect,single,awesome"
26,Resident Evil 4,2005,Capcom,Action Adventure;Horror,GameCube,1 Player,9.15,"evil,resident,new,survival,scary"
27,The Orange Box,2007,ValveSoftware,Action;Miscellaneous;Shooter;Compilation;First-Person;Sci-Fi,Xbox360,16  Online,9.22,"half-life,half,portal,new,amazing"
28,The Orange Box,2007,ValveSoftware,Action;Miscellaneous;Shooter;Compilation;First-Person;Sci-Fi,PC,16  Online,9.22,"half-life,half,portal,new,amazing"
29,Batman: Arkham City,2011,RocksteadyStudios,Action Adventure;Fantasy;Fantasy;Open-World,PlayStation3,No Online Multiplayer,8.96,"arkham,new,batman,big,amazing"
30,Tekken 3,1998,Namco,Action;Fighting;3D,PlayStation,1-2 ,9.25,"tekken,new,fighting,old,awesome"
31,Mass Effect 2,2010,BioWare,Role-Playing;Action RPG;Action RPG,Xbox360,No Online Multiplayer,8.66,"new,original,amazing,rpg,perfect"
32,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy,GameCube,1 Player,8.84,"twilight,new,zelda,easy,dark"
33,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,No Online Multiplayer,7.15,"skyrim,new,huge,amazing,big"
34,Half-Life,1998,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,1-32 ,9.36,"half-life,half,old,new,amazing"
35,Resident Evil 4,2005,Capcom,Action Adventure;Horror,PlayStation2,1 Player,9.15,"evil,resident,new,survival,scary"
36,The Legend of Zelda: The Wind Waker,2003,Nintendo,Action Adventure;Fantasy,GameCube,1 Player,8.63,"zelda,new,amazing,easy,perfect"
37,Gran Turismo,1998,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation,1-2 ,8.94,"une,new,gran,audio,à"
38,BioShock,2007,"IrrationalGames,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,No Online Multiplayer,8.34,"big,amazing,new,unique,perfect"
39,Metal Gear Solid 2: Sons of Liberty,2001,KCEJ,Action Adventure;Modern,PlayStation2,1 Player,8.44,"solid,new,original,big,perfect"
40,Grand Theft Auto Double Pack,2003,RockstarNorth,Miscellaneous;Compilation,Xbox,1 Player,8.44,"grand,new,theft,ps2,big"
41,Baldur's Gate II: Shadows of Amn,2000,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,Up to 6 ,9.5,"epic,deep,old,new,fantastic"
42,Grand Theft Auto: San Andreas,2004,RockstarNorth,Action Adventure;Modern,PlayStation2,1-2 ,8.8,"san,gta,big,grand,new"
43,Grand Theft Auto: Vice City,2002,RockstarNorth,Action Adventure;Modern,PlayStation2,1 Player,8.9,"gta,grand,san,new,big"
44,LittleBigPlanet,2008,"SCE/WWS,MediaMolecule",Action;Platformer;Platformer;3D;2D;3D,PlayStation3,Up to 4 ,8.22,"big,fun,new,creative,amazing"
45,The Legend of Zelda Collector's Edition,2003,Nintendo,Action Adventure;Fantasy,GameCube,1 Player,9.14,"favorite,original,free,classic,awesome"
46,Red Dead Redemption,2010,RockstarSanDiego,Action;Shooter;Third-Person;Historic;Action Adventure;Historic;Historic;Open-World,PlayStation3,Up to 16 ,8.9,"red,western,wild,old,amazing"
47,Gran Turismo 3: A-Spec,2001,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation2,1-2 ,8.71,"realistic,hard,fun,gran,perfect"
48,Halo 2,2004,BungieSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,1-16 ,8.03,"new,original,single,big,amazing"
49,The Legend of Zelda: A Link to the Past,2002,Capcom,Action Adventure;Fantasy,GameBoyAdvance,not specified,8.74,"awesome,classic,original,favorite,perfect"
50,The Legend of Zelda: Majora's Mask,2000,Nintendo,Action Adventure;Fantasy,Nintendo64,1 Player,9.14,"wtb,new,dark,amazing,favorite"
51,The Last of Us,2013,NaughtyDog,Modern;Adventure;General;Action Adventure;General;Modern,PlayStation3,Up to 8 ,9.24,"naughty,amazing,uncharted,perfect,emotional"
52,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy;General;Fantasy;Open-World,Wii,No Online Multiplayer,8.84,"twilight,new,zelda,easy,dark"
53,Madden NFL 2003,2002,EASports,Sports;Traditional;Football;Sim,PlayStation2,1-2 ,8.14,"madden,awesome,nfl,top,impossible"
54,Tony Hawk's Pro Skater 2,2001,VicariousVisions,Sports;Alternative;Skateboarding,GameBoyAdvance,not specified,8.12,"tony,pro,awesome,hard,new"
55,The Last of Us Remastered,2014,NaughtyDog,Action Adventure;General;Modern,PlayStation4,Up to 8 ,9.32,"naughty,amazing,perfect,new,beautiful"
56,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,not specified,9.34,"portal,new,single,original,co-op"
57,Red Dead Redemption,2010,RockstarSanDiego,Action;Action Adventure;Shooter;Historic;Historic;Open-World;Third-Person;Historic,Xbox360,Up to 16 ,8.9,"red,western,wild,old,amazing"
58,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,not specified,9.34,"portal,new,single,original,co-op"
59,Metal Gear Solid V: The Phantom Pain,2015,"KojimaProductions,MobyDickStudio",Modern;Modern;Action Adventure;Open-World,XboxOne,Up to 16 ,8.02,"solid,big,gear,new,perfect"
60,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,not specified,9.34,"portal,new,single,original,co-op"
61,World of Goo,2008,2DBoy,Miscellaneous;Puzzle;Action;Puzzle;General;Puzzle;General,Wii,1-4 ,8.52,"new,simple,unique,indie,puzzle"
62,BioShock Infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,No Online Multiplayer,8.24,"original,amazing,beautiful,new,interesting"
63,Final Fantasy IX,2000,SquareSoft,Role-Playing;Console-style RPG,PlayStation,1 Player,9.1,"final,ff,old,favorite,beautiful"
64,Call of Duty: Modern Warfare 2,2009,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,Up to 18 ,5.28,"single,modern,new,dedicated,big"
65,Tony Hawk's Pro Skater 4,2002,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation2,1-8 ,8.94,"u,tony,huge,pro,awesome"
66,Devil May Cry,2001,Capcom,Action Adventure;Fantasy,PlayStation2,1 Player,8.88,"hard,cool,easy,awesome,new"
67,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,Up to 18 ,8.56,"single,modern,new,online,amazing"
68,Madden NFL 2002,2001,EASports,Sports;Traditional;Football;Sim,PlayStation2,1-8 ,9.65,"madden,awesome,early,unbelievable,da"
69,God of War,2018,SCESantaMonica,Action Adventure;Linear,PlayStation4,No Online Multiplayer,9.19,"new,amazing,perfect,old,beautiful"
70,Batman: Arkham City,2011,RocksteadyStudios,Action Adventure;Fantasy;Fantasy;Open-World,Xbox360,No Online Multiplayer,8.96,"arkham,new,batman,big,amazing"
71,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PC,No Online Multiplayer,7.15,"skyrim,new,huge,amazing,big"
72,Mass Effect 2,2010,BioWare,Role-Playing;Action RPG;Action RPG,PC,No Online Multiplayer,8.66,"new,original,amazing,rpg,perfect"
73,The Legend of Zelda: Ocarina of Time 3D,2011,GREZZO,Miscellaneous;Action Adventure;Fantasy;Fantasy;Compilation;Open-World,3DS,No Online Multiplayer,9.27,"original,new,amazing,perfect,classic"
74,Chrono Cross,2000,SquareSoft,Role-Playing;Console-style RPG,PlayStation,1 Player,8.34,"chrono,new,final,amazing,beautiful"
75,BioShock,2008,"DigitalExtremes,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,No Online Multiplayer,8.34,"big,amazing,new,unique,perfect"
76,Mass Effect 2,2011,BioWare,Role-Playing;Action RPG;Action RPG,PlayStation3,No Online Multiplayer,8.66,"new,original,amazing,rpg,perfect"
77,Grand Theft Auto: Vice City,2003,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,No Online Multiplayer,8.9,"gta,grand,san,new,big"
