Title,Userscore
The Legend of Zelda: Ocarina of Time,9.49
Tony Hawk's Pro Skater 2,8.12
Grand Theft Auto IV,7.09
SoulCalibur,9.57
Grand Theft Auto IV,7.09
Super Mario Galaxy,9.19
Super Mario Galaxy 2,9.15
Grand Theft Auto V,7.93
Grand Theft Auto V,7.93
Grand Theft Auto V,7.93
Tony Hawk's Pro Skater 2,8.12
The Legend of Zelda: Breath of the Wild,9.13
Tony Hawk's Pro Skater 3,8.17
Perfect Dark,9.44
Grand Theft Auto V,7.93
Metroid Prime,9.35
Grand Theft Auto III,8.36
Super Mario Odyssey,9.17
Halo: Combat Evolved,8.3
NFL 2K1,9.44
Half-Life 2,8.98
Grand Theft Auto V,7.93
The Legend of Zelda: Breath of the Wild,9.13
BioShock,8.34
GoldenEye 007,8.87
Uncharted 2: Among Thieves,9.2
Resident Evil 4,9.15
The Orange Box,9.22
The Orange Box,9.22
Batman: Arkham City,8.96
Tekken 3,9.25
Mass Effect 2,8.66
The Legend of Zelda: Twilight Princess,8.84
The Elder Scrolls V: Skyrim,7.15
Half-Life,9.36
Resident Evil 4,9.15
The Legend of Zelda: The Wind Waker,8.63
Gran Turismo,8.94
BioShock,8.34
Metal Gear Solid 2: Sons of Liberty,8.44
Grand Theft Auto Double Pack,8.44
Baldur's Gate II: Shadows of Amn,9.5
Grand Theft Auto: San Andreas,8.8
Grand Theft Auto: Vice City,8.9
LittleBigPlanet,8.22
The Legend of Zelda Collector's Edition,9.14
Red Dead Redemption,8.9
Gran Turismo 3: A-Spec,8.71
Halo 2,8.03
The Legend of Zelda: A Link to the Past,8.74
The Legend of Zelda: Majora's Mask,9.14
The Last of Us,9.24
The Legend of Zelda: Twilight Princess,8.84
Madden NFL 2003,8.14
Tony Hawk's Pro Skater 2,8.12
The Last of Us Remastered,9.32
Portal 2,9.34
Red Dead Redemption,8.9
Portal 2,9.34
Metal Gear Solid V: The Phantom Pain,8.02
Portal 2,9.34
World of Goo,8.52
BioShock Infinite,8.24
Final Fantasy IX,9.1
Call of Duty: Modern Warfare 2,5.28
Tony Hawk's Pro Skater 4,8.94
Devil May Cry,8.88
Call of Duty 4: Modern Warfare,8.56
Madden NFL 2002,9.65
God of War,9.19
Batman: Arkham City,8.96
The Elder Scrolls V: Skyrim,7.15
Mass Effect 2,8.66
The Legend of Zelda: Ocarina of Time 3D,9.27
Chrono Cross,8.34
BioShock,8.34
Mass Effect 2,8.66
Grand Theft Auto: Vice City,8.9
Madden NFL 2004,8.26
Gears of War,7.6
The Elder Scrolls IV: Oblivion,8.11
Sid Meier's Civilization II,9.63
Quake,9.56
Call of Duty 4: Modern Warfare,8.56
BioShock Infinite,8.24
Halo 3,7.47
Ninja Gaiden Black,8.54
The Elder Scrolls IV: Oblivion,8.11
Street Fighter IV,7.16
Celeste,8.64
Super Mario Advance 4: Super Mario Bros. 3,8.79
Jet Grind Radio,8.5
Metal Gear Solid,9.61
Grim Fandango,9.79
Tom Clancy's Splinter Cell Chaos Theory,8.86
Burnout 3: Takedown,9.13
Diablo,8.81
Metal Gear Solid 3: Subsistence,9.07
Call of Duty: Modern Warfare 2,5.28
Metal Gear Solid 4: Guns of the Patriots,8.67
NCAA Football 2004,8.96
God of War,9.19
Star Wars: Knights of the Old Republic,8.97
Sid Meier's Civilization IV,7.37
Madden NFL 2004,8.26
Virtua Fighter 4,7.46
Super Mario 64,9.11
