Title,Userscore
The Witcher 3: Wild Hunt,9.01
Burnout 3: Takedown,9.13
Super Smash Bros. Brawl,8.57
Company of Heroes,8.72
Gran Turismo 2,8.64
Tom Clancy's Splinter Cell Pandora Tomorrow,8.79
Grand Theft Auto: Chinatown Wars,8.35
Pac-Man Championship Edition DX,8.81
Street Fighter Alpha 3,9.13
Tony Hawk's Pro Skater 3,8.17
Divinity: Original Sin II,8.93
Unreal Tournament 2004,9.61
BioShock Infinite,8.24
Braid,8.54
God of War II,8.78
Super Mario 3D World,9.03
Starcraft II: Wings of Liberty,7.68
SSX,6.57
Street Fighter IV,7.16
Minecraft,7.57
Persona 5,9.29
Persona 4 Golden,9.52
SSX 3,9.57
Tom Clancy's Splinter Cell,8.34
Grand Theft Auto III,8.36
Quake III Arena,6.5
Homeworld,9.59
Okami,9.1
The Elder Scrolls IV: Oblivion,8.11
Fallout 3,8.04
Gears of War 2,7.05
SoulCalibur II,9.04
World Soccer Winning Eleven 6 International,9.86
NFL 2K3,7.67
Mass Effect 3,5.23
Metal Gear Solid V: The Phantom Pain,8.02
Skies of Arcadia,9.85
The Legend of Zelda: Skyward Sword,8.66
Mario Kart Super Circuit,7.25
Rock Band 3,8.47
Viewtiful Joe,8.36
Test Drive Le Mans,10.0
NBA 2K1,
Castlevania: Symphony of the Night,9.46
Star Wars: Knights of the Old Republic,8.97
Virtua Fighter 4: Evolution,9.58
Uncharted 4: A Thief's End,9.13
Braid,8.54
Mass Effect 3,5.23
Paper Mario,9.38
Wipeout XL,9.0
Grand Theft Auto: San Andreas,8.8
INSIDE,8.57
World of Warcraft,6.64
Grand Theft Auto: San Andreas,8.8
Flipnote Studio,8.85
World Soccer Winning Eleven 7 International,8.84
NBA 2K2,8.82
SoulCalibur II,9.04
The Elder Scrolls V: Skyrim,7.15
Prince of Persia: The Sands of Time,8.37
Call of Duty 4: Modern Warfare,8.56
Divinity: Original Sin II - Definitive Edition,9.19
God of War III,9.14
NFL 2K3,7.67
SSX Tricky,9.27
NHL 2002,8.45
Guitar Hero II,8.91
Prince of Persia: The Sands of Time,8.37
Uncharted 3: Drake's Deception,8.8
Rock Band,8.13
Journey,8.33
Bloodborne,8.75
Eternal Darkness: Sanity's Requiem,8.66
Warcraft III: Reign of Chaos,8.99
SSX 3,9.57
The Sims,7.3
Banjo-Kazooie,9.27
Sid Meier's Gettysburg!,7.67
Rock Band 2,8.42
Forza Motorsport,8.39
Celeste,8.64
Madden NFL 2004,8.26
Super Street Fighter IV,8.03
World Soccer Winning Eleven 7 International,8.84
Advance Wars,8.95
Vagrant Story,9.03
What Remains of Edith Finch,7.94
Team Fortress 2,8.98
System Shock 2,9.29
Tom Clancy's Splinter Cell: Chaos Theory,8.09
Final Fantasy XII,7.29
Undertale,8.88
Madden NFL 2003,8.14
The Witcher 3: Wild Hunt,9.01
Super Mario World: Super Mario Advance 2,9.44
ESPN NFL 2K5,8.84
Super Smash Bros. Melee,9.08
Madden NFL 2003,8.14
Rome: Total War,8.95
Forza Motorsport 3,8.06
Okami HD,8.49
Undertale,8.88
Batman: Arkham Asylum,8.65
Super Mario Sunshine,8.34
SSX 3,9.57
SoulCalibur II,9.04
Tony Hawk's Pro Skater,8.0
Thief: The Dark Project,9.57
Fire Emblem: Awakening,9.17
Age of Empires II: The Age of Kings,8.49
Final Fantasy X,8.56
Prince of Persia: The Sands of Time,8.37
The Walking Dead: A Telltale Games Series,8.23
Unreal Tournament (1999),9.77
Sid Meier's Alpha Centauri,9.87
Wave Race 64,8.93
Galactic Civilizations II: Twilight of the Arnor,7.21
Super Smash Bros. for Wii U,9.17
Guitar Hero II,8.91
Into the Breach,8.72
Final Fantasy VII,9.13
Rock Band,8.13
Chrono Trigger,9.09
Bayonetta 2,9.36
Journey,8.33
Xenoblade Chronicles,9.18
Conker's Bad Fur Day,9.32
Medal of Honor,8.64
PaRappa the Rapper,6.94
Rock Band 2,8.42
Mario Kart 8 Deluxe,8.47
INSIDE,8.57
The ICO & Shadow of the Colossus Collection,8.29
Rayman Origins,8.93
Metroid Prime 2: Echoes,9.02
Out of the Park Baseball 17,7.8
Metroid Fusion,8.96
The Witcher 3: Wild Hunt - Blood and Wine,9.52
Final Fantasy VI Advance,9.74
Rayman Legends,8.95
Tiger Woods PGA Tour 2003,9.0
Madden NFL 2005,7.74
Super Street Fighter IV,8.03
Pac-Man Championship Edition DX,8.81
Rock Band 2,8.42
Dark Souls II,7.14
Dishonored,8.05
ESPN NFL Football,9.22
Medal of Honor: Allied Assault,8.11
Myth: The Fallen Lords,9.6
LittleBigPlanet 2,8.93
Guitar Hero,9.13
World of Warcraft: Wrath of the Lich King,6.51
Rock Band 3,8.47
Metroid Prime Trilogy,9.23
Overwatch,6.2
F1 Challenge '99-'02,9.33
Tony Hawk's Pro Skater 4,8.94
Madden NFL 2001,10.0
Baldur's Gate,8.71
Bayonetta 2,9.36
The Witcher 3: Wild Hunt,9.01
Rock Band 3,8.47
Klonoa 2: Lunatea's Veil,9.59
IL-2 Sturmovik,8.5
Mario Tennis,8.56
FreeSpace 2,9.32
Colony Wars,10.0
Metal Gear Solid V: The Phantom Pain,8.02
Ratchet & Clank: Up Your Arsenal,9.5
Resident Evil,9.13
FIFA Soccer 10,7.03
Assassin's Creed II,8.31
Metal Gear Solid 3: Snake Eater,9.03
Twisted Metal: Black,8.2
Spyro: Year of the Dragon,9.19
Tomb Raider,8.26
Overwatch,6.2
Resident Evil 4: Wii Edition,8.97
Shadow of the Colossus,8.15
Forza Horizon 3,7.81
Peggle,7.12
The Legend of Zelda: Ocarina of Time / Master Quest,9.67
Borderlands 2,8.14
Tom Clancy's Splinter Cell,8.34
Kentucky Route Zero - Act III,8.33
NCAA Football 2003,8.42
Crysis,7.47
Ninja Gaiden,8.5
God of War: Chains of Olympus,8.54
DOA2: Hardcore,7.68
World of Warcraft: The Burning Crusade,6.98
MLB 10: The Show,8.1
Shadow of the Colossus,8.15
Yoshi's Island: Super Mario Advance 3,9.71
The Witcher 3: Wild Hunt - Blood and Wine,9.52
Tiger Woods PGA Tour 2005,9.11
ESPN NFL Football,9.22
NCAA Football 2003,8.42
The Longest Journey,8.33
Tony Hawk's Pro Skater 2,8.12
Star Wars Jedi Knight: Dark Forces II,9.28
Batman: Arkham Asylum,8.65
Halo: Reach,8.24
Galactic Civilizations II: Dark Avatar,8.5
Mass Effect,8.38
The Operative: No One Lives Forever,9.17
Forza Motorsport 4,8.89
Resident Evil,9.13
Battlefield 2,7.85
God of War Collection,8.44
Celeste,8.64
Madden NFL 2005,7.74
Tony Hawk's Pro Skater 3,8.17
Street Fighter IV,7.16
Fallout 3,8.04
Batman: Arkham City,8.96
Fez,7.32
Planescape: Torment,9.67
Sonic Mania Plus,9.61
Gears of War 3,8.33
Killzone 2,7.87
Neverwinter Nights,7.74
Batman: Arkham Asylum,8.65
Castlevania: Aria of Sorrow,9.67
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,7.93
INSIDE,8.57
Legacy of Kain: Soul Reaver,9.41
Dragon Age: Origins,8.19
Dead Cells,7.95
Golden Sun,9.24
Rayman Legends,8.95
Mark of the Ninja,8.6
World Soccer Winning Eleven 8 International,9.11
SteamWorld Heist: Ultimate Edition,8.75
The Legend of Zelda: A Link Between Worlds,8.9
Dark Souls II,7.14
Castlevania: Circle of the Moon,8.54
Far Cry 3,7.79
Dark Souls II,7.14
Shovel Knight: Treasure Trove,8.31
flower,7.29
Mario Kart DS,8.67
Call of Duty,8.55
Madden NFL 2004,8.26
Mario Golf,8.25
Crash Bandicoot 3: Warped,9.31
Assassin's Creed II,8.31
Project Gotham Racing 2,8.76
NBA 2K12,6.77
The Sims 2,9.04
World of Warcraft: Cataclysm,4.94
Half-Life 2,8.98
NCAA Football 2003,8.42
Rayman 2: The Great Escape,9.57
Bayonetta,7.9
Diablo III: Ultimate Evil Edition,8.11
Overwatch,6.2
Far Cry 3,7.79
ICO,8.76
Tom Clancy's Ghost Recon Advanced Warfighter,8.1
FIFA Soccer 12,6.82
World of Goo,8.52
Mario & Luigi: Superstar Saga,9.43
Shovel Knight,8.7
Tony Hawk's Underground,8.91
Marvel vs. Capcom 2,9.35
Ape Escape,9.17
Syphon Filter,8.67
Mario & Luigi: Bowser's Inside Story,9.14
Trials Evolution,8.76
Grand Theft Auto IV: The Lost and Damned,8.43
FIFA Soccer 12,6.82
Spelunky,7.47
FIFA Soccer 10,7.03
Ratchet & Clank: Going Commando,9.48
NBA Street Vol. 2,9.22
Tennis 2K2,8.5
Black & White,7.36
Fallout 3,8.04
The Legend of Zelda: The Wind Waker HD,9.4
ESPN NFL 2K5,8.84
Portal,9.2
The Legend of Zelda: Phantom Hourglass,7.71
MVP Baseball 2004,8.41
Tony Hawk's Pro Skater 3,8.17
Dance Dance Revolution,9.43
NHL 2001,8.8
Advance Wars: Dual Strike,8.96
Rayman Legends,8.95
MLB 11: The Show,9.15
NieR: Automata - Become as Gods Edition,8.78
Jak and Daxter: The Precursor Legacy,8.86
Star Wars Rogue Leader: Rogue Squadron II,9.09
Monster Hunter: World,7.21
Stephen's Sausage Roll,7.0
Velocity 2X,6.73
Burnout Revenge,8.03
Tony Hawk's Pro Skater 3,8.17
NBA 2K2,8.82
NCAA Football 2002,9.08
Unreal Tournament,9.5
Deus Ex,9.42
Donkey Kong 64,8.27
Panzer Dragoon Orta,8.23
Dead Cells,7.95
Portal: Still Alive,8.6
Half-Life 2: Episode Two,9.07
Fez,7.32
Braid,8.54
The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,8.59
Shin Megami Tensei: Persona 4,9.14
MLB 09: The Show,8.89
Blast Corps,9.12
Shovel Knight,8.7
MVP Baseball 2004,8.41
Tony Hawk's Pro Skater 4,8.94
Sid Meier's Civilization III,7.52
NFL 2K2,6.0
WWF SmackDown! 2: Know Your Role,9.36
LIMBO,7.91
Mark of the Ninja,8.6
Silent Hunter III,7.12
Bayonetta,7.9
Assassin's Creed: Brotherhood,8.28
Okami,9.1
Super Meat Boy,8.05
Grand Theft Auto: Chinatown Wars,8.35
Dead Space 2,8.51
Pikmin 2,9.6
Okami HD,8.49
NBA 2K17,5.88
Madden NFL 2002,9.65
Grandia II,9.6
Geometry Wars: Retro Evolved 2,9.06
Sid Meier's Civilization V,6.55
Super Mario 3D Land,8.52
Mario Kart 8 DLC Pack 2,9.36
Falcon 4.0: Allied Force,9.5
Deus Ex: Human Revolution,8.0
XCOM: Enemy Unknown,7.58
Metroid Prime 3: Corruption,8.78
Monster Hunter: World,7.21
Flight Simulator 2002,10.0
Banjo-Tooie,9.59
Brothers: A Tale of Two Sons,8.68
Dota 2,5.24
World Soccer Winning Eleven 8 International,9.11
Hollow Knight,8.74
TimeSplitters 2,8.41
Guild Wars 2,8.44
Forza Motorsport 2,8.34
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,9.26
Pushmo,8.7
The Witcher 3: Wild Hunt - Hearts of Stone,9.17
Metal Gear Solid HD Collection,9.15
Viewtiful Joe,8.36
Madden NFL 2005,7.74
Tiger Woods PGA Tour 2003,9.0
Freedom Force,8.17
NBA 2K2,8.82
Colin McRae Rally 2.0,9.73
FIFA Soccer 13,5.22
LIMBO,7.91
GTR 2,9.77
NBA 2K13,7.18
Grand Theft Auto IV,7.09
Total War: Shogun 2,8.02
Empire: Total War,5.61
Rayman Legends,8.95
Bayonetta + Bayonetta 2,8.75
Kentucky Route Zero - Act IV,6.5
Guacamelee! Super Turbo Championship Edition,8.0
NBA 2K12,6.77
ESPN NHL Hockey,7.76
Rayman 2 Revolution,8.56
Madden NFL 2001,10.0
Final Fantasy VIII,8.69
Beetle Adventure Racing,9.0
Command & Conquer: Red Alert,9.29
The Witcher 3: Wild Hunt - Hearts of Stone,9.17
Star Wars Jedi Knight II: Jedi Outcast,7.68
Wipeout HD Fury,8.38
Halo 2 Multiplayer Map Pack,7.19
Borderlands 2,8.14
Shin Megami Tensei: Persona 3 Portable,9.04
XCOM: Enemy Unknown,7.58
Call of Duty 2,7.92
Burnout Revenge,8.03
Dragon Quest VIII: Journey of the Cursed King,8.65
Metroid: Zero Mission,9.11
The Legend of Zelda: Majora's Mask 3D,8.68
Skylanders Swap Force,8.2
The Walking Dead: A Telltale Games Series,8.23
Tiger Woods PGA Tour 2004,8.71
Age of Mythology,9.01
Pikmin,8.49
Madden NFL 2002,9.65
Sacrifice,9.43
Samba de Amigo,9.5
Wipeout 3,8.5
Plants vs. Zombies,8.88
Dark Souls III,7.76
Dead Cells,7.95
Rez HD,8.64
NBA Street V3,8.27
Demon's Souls,8.66
Pillars of Eternity,8.14
The Elder Scrolls III: Morrowind,8.82
Castlevania: Symphony of the Night,9.46
Fable II,7.05
Rez Infinite,8.09
Rocksmith 2014 Edition,7.64
NHL 2K3,7.83
Final Fantasy Chronicles,9.73
Fallout,8.88
The Beatles: Rock Band,9.11
Into the Breach,8.72
Assassin's Creed: Brotherhood,8.28
Left 4 Dead 2,7.93
World Soccer Winning Eleven 9,6.92
Worldwide Soccer Manager 2005,9.31
Axiom Verge,7.52
Left 4 Dead,8.5
Left 4 Dead,8.5
Left 4 Dead 2,7.93
Titanfall 2,8.4
F1 2017,8.04
Dark Souls III,7.76
3D Gunstar Heroes,8.75
Jade Empire,8.56
Tony Hawk's Underground,8.91
NHL 2K3,7.83
NBA 2K3,7.85
NASCAR Racing 2002 Season,4.25
Phantasy Star Online,9.71
Resident Evil 2,9.24
Tekken 2,8.71
Need for Speed: Hot Pursuit,6.16
F-Zero GX,8.67
Mass Effect,8.38
Dark Souls,8.64
NBA Street V3,8.27
Need for Speed: Hot Pursuit 2,8.5
Grand Theft Auto IV: The Ballad of Gay Tony,9.27
Okami HD,8.49
The Legend of Zelda: The Minish Cap,9.08
NCAA Football 2005,8.43
NCAA Football 2004,8.96
Combat Mission: Barbarossa to Berlin,9.67
NHL 2002,8.45
Homeworld: Cataclysm,9.0
Fez,7.32
Cave Story,9.0
Dark Souls II: Scholar of the First Sin,7.59
The Walking Dead: Episode 5 - No Time Left,8.91
Guild Wars,8.22
Borderlands 2,8.14
World Soccer Winning Eleven 9,6.92
Guitar Hero 5,6.42
Ace Combat 04: Shattered Skies,9.47
Max Payne,8.94
3D Streets of Rage II,10.0
Out of the Park Baseball 15,9.13
MVP Baseball 2004,8.41
Tiger Woods PGA Tour 2004,8.71
Tom Clancy's Splinter Cell,8.34
Max Payne,8.94
World in Conflict,7.44
Burnout Revenge,8.03
FIFA Soccer 11,7.79
Final Fantasy XIV: Stormblood,6.51
Deus Ex: Human Revolution,8.0
Stardew Valley,8.83
Castlevania: Dawn of Sorrow,8.36
NBA Street Vol. 2,9.22
Sonic Adventure 2,8.41
NASCAR Racing 4,9.44
Duke Nukem 3D,8.88
L.A. Noire,7.64
Bastion,8.8
Far Cry,7.69
Dead Space,7.98
Lone Echo,7.86
FIFA Soccer 12,6.82
Dishonored,8.05
XCOM: Enemy Unknown,7.58
Mass Effect 3,5.23
Rise of Nations,9.08
Shin Megami Tensei: Persona 3 FES,8.9
Burnout 2: Point of Impact,8.61
World Series Baseball 2K3,8.94
NASCAR Racing 2003 Season,9.17
Descent 3,8.8
Resident Evil 2,9.24
The Curse of Monkey Island,9.41
Rez Infinite,8.09
Dark Souls: Artorias of the Abyss,8.27
Metal Gear Solid HD Collection,9.15
Battlefield 3,7.65
Owlboy,7.03
Dead Space 2,8.51
Battlefield 1942,8.7
Einhander,9.25
Deus Ex: Human Revolution,8.0
The Chronicles of Riddick: Escape From Butcher Bay,8.73
The Walking Dead: Episode 5 - No Time Left,8.91
Madden NFL 2003,8.14
WWF No Mercy,9.4
Gran Turismo 4,7.97
Dragon Age: Inquisition,5.85
The Beatles: Rock Band,9.11
Advance Wars 2: Black Hole Rising,9.71
DiRT 2,8.08
Lumines,6.6
L.A. Noire,7.64
Ratchet & Clank Future: Tools of Destruction,8.78
Peggle,7.12
Tom Clancy's Splinter Cell Double Agent,7.83
New Super Mario Bros.,8.8
Silent Hill 2,9.03
Battlefield 1,6.67
Metal Gear Solid: Peace Walker,8.8
Virtua Fighter 5 Online,7.39
"WarioWare, Inc.: Mega Microgame$!",9.28
The Orange Box,9.22
NBA 2K2,8.82
Grandia,8.55
Colors! 3D,9.45
Destiny: The Taken King,6.4
NBA 2K11,7.85
Horizon Zero Dawn,8.62
NBA 2K11,7.85
Injustice 2,7.75
Minecraft: PlayStation 4 Edition,7.6
Dark Souls,8.64
Stardew Valley,8.83
Prince of Persia: The Sands of Time,8.37
What Remains of Edith Finch,7.94
Top Spin,8.3
ESPN NBA Basketball,8.41
Tiger Woods PGA Tour 2004,8.71
Tom Clancy's Splinter Cell,8.34
NHL 2K3,7.83
NBA Street,9.57
Railroad Tycoon II,7.75
Burnout Paradise,6.69
Wipeout Pure,8.36
The Beatles: Rock Band,9.11
XCOM 2: War of the Chosen,7.23
Fallout 4,5.61
Tiger Woods PGA Tour 2005,9.11
Microsoft Flight Simulator 2004: A Century of Flight,7.9
NBA Street Vol. 2,9.22
Medieval: Total War,8.78
Shenmue II,9.4
NHL 2001,8.8
Excitebike 64,8.67
R4: Ridge Racer Type 4,9.83
Shadow Complex,8.43
Spelunky,7.47
NBA Street V3,8.27
Mafia,8.42
N++,6.8
Call of Duty: Modern Warfare 3,3.95
What Remains of Edith Finch,7.94
Brothers in Arms: Road to Hill 30,7.01
Deus Ex: Human Revolution - Director's Cut,7.75
Madden NFL 06,6.51
Dishonored,8.05
LIMBO,7.91
Dragon Quest XI: Echoes of an Elusive Age,9.36
Nuclear Throne,7.88
Crusader Kings II: The Old Gods,7.15
Assassin's Creed: Brotherhood,8.28
Crash Team Racing,9.13
DJ Hero 2,8.57
Pinball FX 2: Marvel Pinball - Avengers Chronicles,4.5
Medal of Honor Frontline,8.48
Superbike 2001,6.0
Ultimate Fighting Championship,7.33
Wolfenstein II: The New Colossus,6.93
Mario Kart 8,8.94
Super Mario Maker,8.83
NHL 11,8.03
Divinity: Original Sin Enhanced Edition,7.83
Dead Space,7.98
Tekken 5,8.47
F.E.A.R.,7.47
Monster Hunter: World,7.21
Psychonauts,9.03
The Binding of Isaac: Rebirth,8.44
FIFA 14,3.74
NHL 10,7.83
BioShock 2,7.87
Kerbal Space Program,9.05
Ori and the Blind Forest: Definitive Edition,8.33
Tribes 2,9.71
Age of Empires II: The Conquerors Expansion,9.85
Diddy Kong Racing,9.07
Star Fox 64,8.95
NHL 09,8.39
Ori and the Blind Forest: Definitive Edition,8.33
NieR: Automata,8.68
Meteos,7.75
Zero Escape: Virtue's Last Reward,8.88
Dishonored 2,7.02
NHL 09,8.39
Rise of the Tomb Raider: 20 Year Celebration,7.96
NHL 10,7.83
Uncharted: Drake's Fortune,8.13
The Banner Saga 3,6.67
Tom Clancy's Rainbow Six Vegas,8.24
Super Street Fighter II Turbo HD Remix,7.2
Tiger Woods PGA Tour 2005,9.11
Tiger Woods PGA Tour 2004,8.71
Warcraft III: The Frozen Throne,8.94
Tiger Woods PGA Tour 2003,9.0
Tactics Ogre: The Knight of Lodis,9.43
Starcraft,9.48
Assassin's Creed IV: Black Flag,7.64
Battlefield: Bad Company 2,8.27
The Last of Us: Left Behind,8.02
Far Cry 3,7.79
Tiger Woods PGA Tour 10,9.0
Star Wars Pinball: Balance of the Force,
World Soccer Winning Eleven 8 International,9.11
Fight Night Round 2,9.38
The Secret of Monkey Island: Special Edition,9.17
Shovel Knight,8.7
Rayman Origins,8.93
Project Gotham Racing 3,6.85
NBA 2K17,5.88
Battlefield: Bad Company 2,8.27
The World Ends with You,8.76
Torchlight II,8.89
XCOM 2,6.61
Dishonored 2,7.02
Injustice 2: Legendary Edition,8.62
Cuphead,8.79
Divinity: Original Sin Enhanced Edition,7.83
Minecraft: Xbox One Edition,8.08
Guacamelee! Super Turbo Championship Edition,8.0
XCOM: Enemy Within,7.83
NCAA Football 2005,8.43
ESPN NHL Hockey,7.76
NCAA Football 2004,8.96
FIFA Soccer 2003,7.31
Ratchet & Clank,8.87
Tiger Woods PGA Tour 2003,9.0
TimeSplitters 2,8.41
JSRF: Jet Set Radio Future,7.15
Red Faction,8.06
Myth II: Soulblighter,10.0
Ninja Gaiden Sigma,7.47
Fire Emblem Fates: Special Edition,7.06
Pinball FX 2,8.56
Final Fantasy Tactics: The War of the Lions,7.95
NHL 11,8.03
Wario Land 4,8.73
The Elder Scrolls III: Morrowind Game of the Year Edition,9.04
WarioWare: Twisted!,9.64
Pokemon Y,8.25
Call of Duty: Black Ops,5.65
Return to Castle Wolfenstein,8.94
Ori and the Blind Forest,9.05
NCAA Football 07,8.1
NBA Street,9.57
Madden NFL 2002,9.65
Shogo: Mobile Armor Division,9.6
Thirty Flights of Loving,4.28
The Witcher 2: Assassins of Kings,8.81
Hearthstone: Heroes of Warcraft,4.33
Grand Theft Auto: Liberty City Stories,7.42
The Walking Dead: Episode 3 - Long Road Ahead,7.22
Pillars of Eternity II: Deadfire,7.46
Medieval II: Total War,8.41
Sly 2: Band of Thieves,8.96
Doom 3,6.96
NCAA Football 2005,8.43
FIFA Soccer 2003,7.31
Aggressive Inline,8.18
F1 2002,6.5
Tekken: Dark Resurrection,8.47
The Stanley Parable,7.14
BioShock 2,7.87
ESPN NHL 2K5,7.95
BioShock 2,7.87
Counter-Strike: Source,8.77
Fire Emblem,9.11
Fire Emblem Fates: Revelation,7.04
Sid Meier's Civilization VI,5.67
Battlefield 1,6.67
Okami HD,8.49
Starcraft II: Legacy of the Void,7.83
Diablo III,3.85
Fight Night Round 4,6.39
Oddworld: Stranger's Wrath,9.65
Rise of Nations: Thrones & Patriots,9.75
Sid Meier's Pirates!,7.74
Error 503 Service Unavailable,8.67
EVE Online: Special Edition,7.28
SteamWorld Dig 2,8.95
Call of Duty: Modern Warfare 3,3.95
FIFA Soccer 11,7.79
LittleBigPlanet PS Vita,9.17
Guacamelee! Gold Edition,7.32
Armadillo Run,9.0
FIFA Soccer 13,5.22
Ikaruga,9.09
World of Warcraft: Legion,6.15
Art of Balance,8.29
MVP Baseball 2005,9.08
Keep Talking and Nobody Explodes,8.22
Joe Danger: Special Edition,7.56
Cave Story +,8.72
Crimson Skies: High Road to Revenge,8.88
NASCAR Thunder 2004,8.6
Burnout 2: Point of Impact,8.61
TimeSplitters 2,8.41
Dark Age of Camelot,9.38
Baldur's Gate II: Throne of Bhaal,8.76
Counter-Strike,9.32
Owlboy,7.03
The Talos Principle,8.79
Battlefield: Bad Company 2 Vietnam,8.0
Celeste,8.64
Tony Hawk's Pro Skater 4,8.94
Night in the Woods,7.42
Ori and the Blind Forest,9.05
Need for Speed: Hot Pursuit,6.16
Ridge Racer,8.14
Fight Night Round 2,9.38
Nex Machina: Death Machine,8.48
Nioh,8.47
Animal Crossing: New Leaf,9.03
Diablo II,8.56
Dead Cells,7.95
Hellblade: Senua's Sacrifice,7.76
The Walking Dead: Episode 5 - No Time Left,8.91
NBA 2K13,7.18
The Witcher 2: Assassins of Kings,8.81
Tiger Woods PGA Tour 2005,9.11
SSX Tricky,9.27
Oddworld: Abe's Exoddus,9.5
Plants vs. Zombies,8.88
Rocksmith 2014 Edition,7.64
Burnout Paradise,6.69
Guacamelee! Super Turbo Championship Edition,8.0
Doom 3,6.96
GRID,7.44
Stardew Valley,8.83
Super Meat Boy,8.05
Middle-earth: Shadow of Mordor,7.95
Halo 4,7.56
Football Manager 2010,8.42
Final Fantasy XIV: Stormblood,6.51
Bloodborne: The Old Hunters,9.23
XCOM 2,6.61
Super Street Fighter II Turbo HD Remix,7.2
Injustice 2,7.75
SOCOM II: U.S. Navy SEALs,9.17
The Witness,6.94
DOOM,8.6
BlazBlue: Calamity Trigger,8.4
Rallisport Challenge 2,9.06
Oddworld: Abe's Oddysee - New 'n' Tasty,7.62
Battlefield 1,6.67
Midnight Club 3: DUB Edition Remix,9.07
Dark Souls III,7.76
Marvel's Spider-Man,9.16
Monkey Island 2 Special Edition: LeChuck's Revenge,8.4
Red Dead Redemption: Undead Nightmare Pack,8.69
Pokemon White Version,7.7
Dragon Quest IX: Sentinels of the Starry Skies,8.95
Pokemon X,8.43
Tom Clancy's Splinter Cell: Pandora Tomorrow,6.93
Baldur's Gate: Dark Alliance,8.51
Europa Universalis II,9.67
Tony Hawk's Pro Skater 3,8.17
Metropolis Street Racer,9.75
Power Stone 2,9.0
