Num,Title,Year,Publisher,Genre,Platform,No_Players,Userscore,labels,recommendation
0,The Legend of Zelda: Ocarina of Time,1998,Nintendo,Action Adventure;Fantasy,Nintendo64,1 Player,9.49,"perfect,amazing,old,new,favorite","Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth: The Fallen Lords,System Shock: Enhanced Edition,System Shock 2"
1,Tony Hawk's Pro Skater 2,2000,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation,1-2 ,8.12,"tony,pro,awesome,hard,new","Myth II: Soulblighter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
2,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PlayStation3,1 Player,7.09,"gta,san,new,grand,realistic","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
3,SoulCalibur,1999,Namco,Action;Fighting;3D,Dreamcast,1-2 ,9.57,"fighting,beautiful,easy,awesome,amazing","Azure Striker Gunvolt: Striker Pack,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth: The Fallen Lords"
4,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,Xbox360,1 Player,7.09,"gta,san,new,grand,realistic","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
5,Super Mario Galaxy,2007,Nintendo,Action;Platformer;Platformer;3D;3D,Wii,No Online Multiplayer,9.19,"super,new,perfect,easy,amazing","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
6,Super Mario Galaxy 2,2010,NintendoEADTokyo,Action;Platformer;Platformer;3D;3D,Wii,No Online Multiplayer,9.15,"super,new,original,amazing,perfect","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
7,Grand Theft Auto V,2014,RockstarNorth,Action Adventure;Modern;Open-World,XboxOne,Up to 30 ,7.93,"gta,new,grand,big,single","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
8,Grand Theft Auto V,2013,RockstarNorth,Modern;Action Adventure;Modern;Open-World,PlayStation3,Up to 16 ,7.93,"gta,new,grand,big,single","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
9,Grand Theft Auto V,2013,RockstarNorth,Modern;Action Adventure;Modern;Open-World,Xbox360,Up to 16 ,7.93,"gta,new,grand,big,single","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
10,Tony Hawk's Pro Skater 2,2000,Treyarch,Sports;Alternative;Skateboarding,Dreamcast,not specified,8.12,"tony,pro,awesome,hard,new","Myth II: Soulblighter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
11,The Legend of Zelda: Breath of the Wild,2017,Nintendo,Action Adventure;Open-World,Switch,No Online Multiplayer,9.13,"new,perfect,beautiful,wild,amazing","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
12,Tony Hawk's Pro Skater 3,2001,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation2,1-2 ,8.17,"new,tony,pro,awesome,fantastic","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
13,Perfect Dark,2000,RareLtd.,Action;Shooter;First-Person;Sci-Fi,Nintendo64,not specified,9.44,"perfect,single,classic,dark,n64","Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Syberia,Hyper Light Drifter,Dyad"
14,Grand Theft Auto V,2014,RockstarNorth,Action Adventure;Modern;Open-World,PlayStation4,Up to 30 ,7.93,"gta,new,grand,big,single","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
15,Metroid Prime,2002,RetroStudios,Action;Shooter;First-Person;Sci-Fi,GameCube,1 Player,9.35,"metroid,prime,perfect,amazing,awesome","Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth II: Soulblighter,Myst III: Exile,Myst V: End of Ages"
16,Grand Theft Auto III,2001,DMADesign,Action Adventure;Modern,PlayStation2,1 Player,8.36,"grand,gta,san,u,awesome","Syphon Filter: Dark Mirror,Myth II: Soulblighter,System Shock 2,Dying Light: The Following,System Shock: Enhanced Edition"
17,Super Mario Odyssey,2017,Nintendo,Action;Platformer;3D,Switch,No Online Multiplayer,9.17,"new,super,easy,nintendo,cappy","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
18,Halo: Combat Evolved,2001,BungieSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,1-4 ,8.3,"amazing,new,perfect,awesome,original","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
19,NFL 2K1,2000,VisualConcepts,Sports;Traditional;Football;Sim,Dreamcast,not specified,9.44,"visual,general,low,old,top-notch","Pyre,Syphon Filter,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits"
20,Half-Life 2,2004,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,No Online Multiplayer,8.98,"half-life,half,amazing,new,awesome","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
21,Grand Theft Auto V,2015,RockstarNorth,Modern;Action Adventure;Open-World,PC,Up to 32 ,7.93,"gta,new,grand,big,single","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
22,The Legend of Zelda: Breath of the Wild,2017,Nintendo,Fantasy;Fantasy;Action Adventure;Open-World,WiiU,No Online Multiplayer,9.13,"new,perfect,beautiful,wild,amazing","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
23,BioShock,2007,"IrrationalGames,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,No Online Multiplayer,8.34,"big,amazing,new,unique,perfect","Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2,Pyre"
24,GoldenEye 007,1997,RareLtd.,Action;Shooter;First-Person;Modern,Nintendo64,1-4 ,8.87,"original,classic,n64,old,perfect","Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Syberia"
25,Uncharted 2: Among Thieves,2009,NaughtyDog,Action Adventure;Modern;Modern;Linear,PlayStation3,No Online Multiplayer,9.2,"uncharted,amazing,perfect,single,awesome","Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth II: Soulblighter,System Shock 2,Dying Light: The Following"
26,Resident Evil 4,2005,Capcom,Action Adventure;Horror,GameCube,1 Player,9.15,"evil,resident,new,survival,scary","Tyranny,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
27,The Orange Box,2007,ValveSoftware,Action;Miscellaneous;Shooter;Compilation;First-Person;Sci-Fi,Xbox360,16  Online,9.22,"half-life,half,portal,new,amazing","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
28,The Orange Box,2007,ValveSoftware,Action;Miscellaneous;Shooter;Compilation;First-Person;Sci-Fi,PC,16  Online,9.22,"half-life,half,portal,new,amazing","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
29,Batman: Arkham City,2011,RocksteadyStudios,Action Adventure;Fantasy;Fantasy;Open-World,PlayStation3,No Online Multiplayer,8.96,"arkham,new,batman,big,amazing","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
30,Tekken 3,1998,Namco,Action;Fighting;3D,PlayStation,1-2 ,9.25,"tekken,new,fighting,old,awesome","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
31,Mass Effect 2,2010,BioWare,Role-Playing;Action RPG;Action RPG,Xbox360,No Online Multiplayer,8.66,"new,original,amazing,rpg,perfect","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
32,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy,GameCube,1 Player,8.84,"twilight,new,zelda,easy,dark","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
33,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,No Online Multiplayer,7.15,"skyrim,new,huge,amazing,big","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
34,Half-Life,1998,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,1-32 ,9.36,"half-life,half,old,new,amazing","Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
35,Resident Evil 4,2005,Capcom,Action Adventure;Horror,PlayStation2,1 Player,9.15,"evil,resident,new,survival,scary","Tyranny,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
36,The Legend of Zelda: The Wind Waker,2003,Nintendo,Action Adventure;Fantasy,GameCube,1 Player,8.63,"zelda,new,amazing,easy,perfect","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
37,Gran Turismo,1998,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation,1-2 ,8.94,"une,new,gran,audio,à","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
38,BioShock,2007,"IrrationalGames,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,No Online Multiplayer,8.34,"big,amazing,new,unique,perfect","Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2,Pyre"
39,Metal Gear Solid 2: Sons of Liberty,2001,KCEJ,Action Adventure;Modern,PlayStation2,1 Player,8.44,"solid,new,original,big,perfect","Azure Striker Gunvolt: Striker Pack,Syphon Filter: Dark Mirror,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
40,Grand Theft Auto Double Pack,2003,RockstarNorth,Miscellaneous;Compilation,Xbox,1 Player,8.44,"grand,new,theft,ps2,big","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
41,Baldur's Gate II: Shadows of Amn,2000,BioWare,Role-Playing;PC-style RPG;PC-style RPG;Western-Style,PC,Up to 6 ,9.5,"epic,deep,old,new,fantastic","Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
42,Grand Theft Auto: San Andreas,2004,RockstarNorth,Action Adventure;Modern,PlayStation2,1-2 ,8.8,"san,gta,big,grand,new","Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2,Pyre"
43,Grand Theft Auto: Vice City,2002,RockstarNorth,Action Adventure;Modern,PlayStation2,1 Player,8.9,"gta,grand,san,new,big","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
44,LittleBigPlanet,2008,"SCE/WWS,MediaMolecule",Action;Platformer;Platformer;3D;2D;3D,PlayStation3,Up to 4 ,8.22,"big,fun,new,creative,amazing","Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Myth: The Fallen Lords,System Shock 2"
45,The Legend of Zelda Collector's Edition,2003,Nintendo,Action Adventure;Fantasy,GameCube,1 Player,9.14,"favorite,original,free,classic,awesome","Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Syberia"
46,Red Dead Redemption,2010,RockstarSanDiego,Action;Shooter;Third-Person;Historic;Action Adventure;Historic;Historic;Open-World,PlayStation3,Up to 16 ,8.9,"red,western,wild,old,amazing","Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter,Syphon Filter: Dark Mirror"
47,Gran Turismo 3: A-Spec,2001,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation2,1-2 ,8.71,"realistic,hard,fun,gran,perfect","Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Syphon Filter: Logan's Shadow"
48,Halo 2,2004,BungieSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,1-16 ,8.03,"new,original,single,big,amazing","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
49,The Legend of Zelda: A Link to the Past,2002,Capcom,Action Adventure;Fantasy,GameBoyAdvance,not specified,8.74,"awesome,classic,original,favorite,perfect","Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Syberia,System Shock: Enhanced Edition,Syberia II"
50,The Legend of Zelda: Majora's Mask,2000,Nintendo,Action Adventure;Fantasy,Nintendo64,1 Player,9.14,"wtb,new,dark,amazing,favorite","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
51,The Last of Us,2013,NaughtyDog,Modern;Adventure;General;Action Adventure;General;Modern,PlayStation3,Up to 8 ,9.24,"naughty,amazing,uncharted,perfect,emotional","Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,System Shock 2,Dying Light: The Following,System Shock: Enhanced Edition"
52,The Legend of Zelda: Twilight Princess,2006,Nintendo,Action Adventure;Fantasy;General;Fantasy;Open-World,Wii,No Online Multiplayer,8.84,"twilight,new,zelda,easy,dark","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
53,Madden NFL 2003,2002,EASports,Sports;Traditional;Football;Sim,PlayStation2,1-2 ,8.14,"madden,awesome,nfl,top,impossible","Myth II: Soulblighter,Syphon Filter,EyeToy: Kinetic,Twisted Metal: Black,Swing Away Golf"
54,Tony Hawk's Pro Skater 2,2001,VicariousVisions,Sports;Alternative;Skateboarding,GameBoyAdvance,not specified,8.12,"tony,pro,awesome,hard,new","Myth II: Soulblighter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
55,The Last of Us Remastered,2014,NaughtyDog,Action Adventure;General;Modern,PlayStation4,Up to 8 ,9.32,"naughty,amazing,perfect,new,beautiful","Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
56,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,not specified,9.34,"portal,new,single,original,co-op","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
57,Red Dead Redemption,2010,RockstarSanDiego,Action;Action Adventure;Shooter;Historic;Historic;Open-World;Third-Person;Historic,Xbox360,Up to 16 ,8.9,"red,western,wild,old,amazing","Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter,Syphon Filter: Dark Mirror"
58,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,not specified,9.34,"portal,new,single,original,co-op","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
59,Metal Gear Solid V: The Phantom Pain,2015,"KojimaProductions,MobyDickStudio",Modern;Modern;Action Adventure;Open-World,XboxOne,Up to 16 ,8.02,"solid,big,gear,new,perfect","Syphon Filter: Dark Mirror,Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2"
60,Portal 2,2011,ValveSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,not specified,9.34,"portal,new,single,original,co-op","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
61,World of Goo,2008,2DBoy,Miscellaneous;Puzzle;Action;Puzzle;General;Puzzle;General,Wii,1-4 ,8.52,"new,simple,unique,indie,puzzle","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
62,BioShock Infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,No Online Multiplayer,8.24,"original,amazing,beautiful,new,interesting","Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Hyper Light Drifter"
63,Final Fantasy IX,2000,SquareSoft,Role-Playing;Console-style RPG,PlayStation,1 Player,9.1,"final,ff,old,favorite,beautiful","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Hyper Light Drifter"
64,Call of Duty: Modern Warfare 2,2009,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,Up to 18 ,5.28,"single,modern,new,dedicated,big","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
65,Tony Hawk's Pro Skater 4,2002,NeversoftEntertainment,Sports;Alternative;Skateboarding,PlayStation2,1-8 ,8.94,"u,tony,huge,pro,awesome","Syphon Filter: Dark Mirror,Dying Light: The Following,Myth II: Soulblighter,EyeToy: Kinetic,Twisted Metal: Black"
66,Devil May Cry,2001,Capcom,Action Adventure;Fantasy,PlayStation2,1 Player,8.88,"hard,cool,easy,awesome,new","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
67,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,PlayStation3,Up to 18 ,8.56,"single,modern,new,online,amazing","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
68,Madden NFL 2002,2001,EASports,Sports;Traditional;Football;Sim,PlayStation2,1-8 ,9.65,"madden,awesome,early,unbelievable,da","Myth II: Soulblighter,EyeToy: Kinetic,Twisted Metal: Black,Swing Away Golf,Everybody's Golf"
69,God of War,2018,SCESantaMonica,Action Adventure;Linear,PlayStation4,No Online Multiplayer,9.19,"new,amazing,perfect,old,beautiful","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
70,Batman: Arkham City,2011,RocksteadyStudios,Action Adventure;Fantasy;Fantasy;Open-World,Xbox360,No Online Multiplayer,8.96,"arkham,new,batman,big,amazing","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
71,The Elder Scrolls V: Skyrim,2011,BethesdaGameStudios,Role-Playing;First-Person;First-Person;Western-Style,PC,No Online Multiplayer,7.15,"skyrim,new,huge,amazing,big","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
72,Mass Effect 2,2010,BioWare,Role-Playing;Action RPG;Action RPG,PC,No Online Multiplayer,8.66,"new,original,amazing,rpg,perfect","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
73,The Legend of Zelda: Ocarina of Time 3D,2011,GREZZO,Miscellaneous;Action Adventure;Fantasy;Fantasy;Compilation;Open-World,3DS,No Online Multiplayer,9.27,"original,new,amazing,perfect,classic","Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
74,Chrono Cross,2000,SquareSoft,Role-Playing;Console-style RPG,PlayStation,1 Player,8.34,"chrono,new,final,amazing,beautiful","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
75,BioShock,2008,"DigitalExtremes,2KMarin",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PlayStation3,No Online Multiplayer,8.34,"big,amazing,new,unique,perfect","Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2,Pyre"
76,Mass Effect 2,2011,BioWare,Role-Playing;Action RPG;Action RPG,PlayStation3,No Online Multiplayer,8.66,"new,original,amazing,rpg,perfect","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
77,Grand Theft Auto: Vice City,2003,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PC,No Online Multiplayer,8.9,"gta,grand,san,new,big","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
78,Madden NFL 2004,2003,EATiburon,Sports;Traditional;Football;Sim,PlayStation2,1-8 ,8.26,"madden,new,realistic,espn,nfl","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
79,Gears of War,2006,EpicGames,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,8  Online,7.6,"single,online,new,awesome,big","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
80,The Elder Scrolls IV: Oblivion,2006,BethesdaSoftworks,Role-Playing;First-Person;First-Person;Western-Style,Xbox360,No Online Multiplayer,8.11,"huge,new,big,amazing,beautiful","Dying Light: The Following,System Shock 2,Myth II: Soulblighter,Pyre,Syberia"
81,Sid Meier's Civilization II,1996,MPSLabs,Strategy;Turn-Based;Historic;General;Historic;4X,PC,1 Player,9.63,"civ,addictive,excellent,old,new","Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
82,Quake,1996,idSoftware,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,1-16 ,9.56,"old,fps,classic,single,modern","Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syberia,Syphon Filter: Logan's Shadow"
83,Call of Duty 4: Modern Warfare,2007,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Xbox360,Up to 18 ,8.56,"single,modern,new,online,amazing","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
84,BioShock Infinite,2013,IrrationalGames,Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,PC,No Online Multiplayer,8.24,"original,amazing,beautiful,new,interesting","Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Hyper Light Drifter"
85,Halo 3,2007,"BungieSoftware,Bungie",Action;Shooter;Shooter;First-Person;Sci-Fi;Sci-Fi;Arcade,Xbox360,1-4 ,7.47,"new,single,amazing,fun,awesome","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
86,Ninja Gaiden Black,2005,TeamNinja,Action Adventure;Fantasy,Xbox,1 Player,8.54,"hard,ninja,easy,original,difficult","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
87,The Elder Scrolls IV: Oblivion,2006,BethesdaSoftworks,Role-Playing;First-Person;First-Person;Western-Style,PC,No Online Multiplayer,8.11,"huge,new,big,amazing,beautiful","Dying Light: The Following,System Shock 2,Myth II: Soulblighter,Pyre,Syberia"
88,Street Fighter IV,2009,Capcom,Action;Fighting;Fighting;3D;2D;3D,PlayStation3,2  Online,7.16,"new,hard,old,easy,super","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
89,Celeste,2018,MattMakesGamesInc.,Action;Platformer;2D,XboxOne,No Online Multiplayer,8.64,"hard,difficult,super,beautiful,easy","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
90,Super Mario Advance 4: Super Mario Bros. 3,2003,Nintendo,Action;Platformer;2D,GameBoyAdvance,1-4 ,8.79,"super,original,hard,perfect,classic","Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
91,Jet Grind Radio,2000,Smilebit,Action;Platformer;3D,Dreamcast,not specified,8.5,"early,second,awesome,unplayable,late","Myth II: Soulblighter,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits"
92,Metal Gear Solid,1998,KCEJ,Action Adventure;Modern,PlayStation,1 Player,9.61,"solid,new,old,amazing,metal","Syphon Filter: Dark Mirror,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
93,Grim Fandango,1998,LucasArts,Adventure;General;General;3D;Third-Person;Fantasy,PC,No Online Multiplayer,9.79,"grim,old,funny,monkey,new","Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
94,Tom Clancy's Splinter Cell Chaos Theory,2005,UbisoftMontreal,Action Adventure;Modern,Xbox,4  Online,8.86,"new,amazing,single,hard,xbox","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
95,Burnout 3: Takedown,2004,CriterionGames,Driving;Racing;Arcade,Xbox,8  Online,9.13,"fun,new,fast,perfect,amazing","Myth: The Fallen Lords,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
96,Diablo,1996,BlizzardEntertainment,Role-Playing;Action RPG;Action RPG,PC,1-4 ,8.81,"old,new,perfect,original,scary","Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2"
97,Metal Gear Solid 3: Subsistence,2006,Aspect,Action Adventure;Modern,PlayStation2,8  Online,9.07,"solid,gear,new,original,amazing","Azure Striker Gunvolt: Striker Pack,Syphon Filter: Dark Mirror,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
98,Call of Duty: Modern Warfare 2,2009,InfinityWard,Action;Shooter;Shooter;First-Person;Modern;Modern;Arcade,Xbox360,Up to 18 ,5.28,"single,modern,new,dedicated,big","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
99,Metal Gear Solid 4: Guns of the Patriots,2008,KojimaProductions,Action Adventure;Modern;General;Modern,PlayStation3,Up to 16 ,8.67,"solid,amazing,long,perfect,old","Syphon Filter: Dark Mirror,Syberia,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth: The Fallen Lords"
100,NCAA Football 2004,2003,EASports,Sports;Traditional;Football;Sim,PlayStation2,1-8 ,8.96,"dynasty,ncaa,madden,new,online","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
101,God of War,2005,SCESantaMonica,Action Adventure;Fantasy,PlayStation2,1 Player,9.19,"new,amazing,perfect,old,beautiful","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
102,Star Wars: Knights of the Old Republic,2003,BioWare,Role-Playing;Third-Person,Xbox,1 Player,8.97,"old,amazing,dark,favorite,light","Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter: Logan's Shadow,Hyper Light Drifter"
103,Sid Meier's Civilization IV,2005,FiraxisGames,Strategy;Turn-Based;Historic;Historic;4X,PC,12  Online,7.37,"civ,new,old,big,huge","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
104,Madden NFL 2004,2003,EATiburon,Sports;Traditional;Football;Sim,GameCube,1-4 ,8.26,"madden,new,realistic,espn,nfl","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
105,Virtua Fighter 4,2002,SegaAM2,Action;Fighting;3D,PlayStation2,1-2 ,7.46,"new,tekken,original,sega,manual","Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
106,Super Mario 64,1996,Nintendo,Action;Platformer;3D,Nintendo64,1 Player,9.11,"super,new,amazing,classic,favorite","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
