Num,Title,Year,Publisher,Genre,Platform,No_Players,Userscore,labels,recommendation
4569,Dragon's Dogma,2012,Capcom,Action;Role-Playing;General;Action RPG;Action RPG,PlayStation3,No Online Multiplayer,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4570,The Persistence,2018,Firesprite,Adventure;3D;First-Person,PlayStation4,No Online Multiplayer,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4571,Tropico 4: Modern Times,2012,"Haemimont,HaemimontGames",Strategy;Tycoon;Management;Tycoon;Government,PC,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4572,Don't Starve: Console Edition,2014,KleiEntertainment,Action Adventure;Fantasy;General;Fantasy;Sandbox,PlayStation4,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4573,NFL Blitz,2012,EATiburon,Sports;Traditional;Team;Football;Arcade;Arcade,Xbox360,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4574,Call of Duty 2: Big Red One,2005,Treyarch,Action;Shooter;First-Person;Historic,Xbox,16  Online,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4575,Super Monkey Ball Deluxe,2005,Sega,Miscellaneous;Party,PlayStation2,1-4 ,9.0,"monkey,undecided,long,glad,shallow","Azure Striker Gunvolt: Striker Pack,Syberia,EyeToy: Play,MySims Agents,EyeToy: Play 2"
4576,Mega Man ZX Advent,2007,IntiCreates,Action;Platformer;Platformer;2D;2D,DS,2  Online,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4577,Soul of Darkness,2010,Gameloft,Adventure;General;General,DS,1 Player,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4578,Ken Follett's The Pillars of the Earth,2017,Kalypso,Adventure;Visual Novel,XboxOne,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4579,Skullgirls,2012,RevergeLabs,Action;Fighting;Fighting;2D;2D,Xbox360,not specified,8.1,"fighting,unique,interesting,online,tight","Myth II: Soulblighter,Pyre,Tyranny,NyxQuest: Kindred Spirits,Syphon Filter"
4580,NCAA March Madness 06,2005,EACanada,Sports;Traditional;Basketball;Sim,PlayStation2,2  Online,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4581,Ultimate Spider-Man,2005,VicariousVisions,Action;Action Adventure;Beat-'Em-Up;General;Platformer;Beat-'Em-Up;2D,DS,1-2 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4582,Pit People,2018,TheBehemoth,Action;General;Strategy;Turn-Based;Tactics,PC,Online Multiplayer,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4583,Super Cloudbuilt,2017,"Coilworks,DoubleEleven",Action Adventure;General,PlayStation4,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4584,Brandish: The Dark Revenant,2015,Falcom,Role-Playing;Action RPG,PSP,not specified,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4585,Burnout,2002,CriterionGames,Driving;Racing;Arcade,GameCube,1-2 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4586,Drakan: The Ancients' Gates,2002,SurrealSoftware,Action Adventure;Fantasy,PlayStation2,1 Player,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4587,Madden NFL 06,2005,BudCat,Sports;Traditional;Team;Football;Sim;Sim,PC,2  Online,6.51,"new,madden,big,realistic,nfl","System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
4588,Hearts of Iron: Platinum,2004,ParadoxDevelopmentStudio,Strategy;Real-Time;Historic;General;Historic,PC,1-2 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4589,Armed and Dangerous,2003,PlanetMoonStudios,Action;Shooter;Shooter;Third-Person;Sci-Fi;Sci-Fi;Arcade,PC,1 Player,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4590,Gladius,2003,LucasArts,Strategy;Turn-Based;Fantasy,PlayStation2,1-2 ,9.5,"tactical,huge,big,surprised,adictive","Dying Light: The Following,Myth II: Soulblighter,System Shock: Enhanced Edition,Myth: The Fallen Lords,Rygar: The Legendary Adventure"
4591,MLB Slugfest 20-04,2003,Midway,Sports;Traditional;Baseball;Arcade,PlayStation2,1-8 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4592,Star Trek: Starfleet Command III,2002,Taldren,Simulation;Sci-Fi;Space;Large Spaceship;Large Spaceship;Civilian,PC,1-8 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
4593,Splashdown,2002,RainbowStudios,Driving;Racing;Snow / Water,Xbox,1-2 ,7.62,"awesome,splashdown,old,wave,blue","Myth II: Soulblighter,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Dyad"
4594,Star Wars: Jedi Starfighter,2002,SecretLevel,Simulation;Sci-Fi;Small Spaceship,Xbox,1-2 ,,,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
