Title,recommendation
Halo 2,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
The Legend of Zelda: A Link to the Past,"Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Syberia,System Shock: Enhanced Edition,Syberia II"
The Legend of Zelda: Majora's Mask,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
The Last of Us,"Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,System Shock 2,Dying Light: The Following,System Shock: Enhanced Edition"
Madden NFL 2003,"Myth II: Soulblighter,Syphon Filter,EyeToy: Kinetic,Twisted Metal: Black,Swing Away Golf"
The Last of Us Remastered,"Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
Portal 2,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Metal Gear Solid V: The Phantom Pain,"Syphon Filter: Dark Mirror,Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2"
World of Goo,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
BioShock Infinite,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Hyper Light Drifter"
Final Fantasy IX,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Hyper Light Drifter"
Call of Duty: Modern Warfare 2,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Tony Hawk's Pro Skater 4,"Syphon Filter: Dark Mirror,Dying Light: The Following,Myth II: Soulblighter,EyeToy: Kinetic,Twisted Metal: Black"
Devil May Cry,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
Call of Duty 4: Modern Warfare,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Madden NFL 2002,"Myth II: Soulblighter,EyeToy: Kinetic,Twisted Metal: Black,Swing Away Golf,Everybody's Golf"
God of War,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
The Legend of Zelda: Ocarina of Time 3D,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Chrono Cross,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Madden NFL 2004,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Gears of War,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
The Elder Scrolls IV: Oblivion,"Dying Light: The Following,System Shock 2,Myth II: Soulblighter,Pyre,Syberia"
Sid Meier's Civilization II,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
Quake,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syberia,Syphon Filter: Logan's Shadow"
Halo 3,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Ninja Gaiden Black,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
Street Fighter IV,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Celeste,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
Super Mario Advance 4: Super Mario Bros. 3,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
Jet Grind Radio,"Myth II: Soulblighter,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits"
Metal Gear Solid,"Syphon Filter: Dark Mirror,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Grim Fandango,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
Tom Clancy's Splinter Cell Chaos Theory,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Burnout 3: Takedown,"Myth: The Fallen Lords,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Diablo,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2"
Metal Gear Solid 3: Subsistence,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Dark Mirror,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
Metal Gear Solid 4: Guns of the Patriots,"Syphon Filter: Dark Mirror,Syberia,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth: The Fallen Lords"
NCAA Football 2004,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Star Wars: Knights of the Old Republic,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter: Logan's Shadow,Hyper Light Drifter"
Sid Meier's Civilization IV,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Virtua Fighter 4,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Super Mario 64,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
The Witcher 3: Wild Hunt,"Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Dying Light: The Following,System Shock 2"
Super Smash Bros. Brawl,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Company of Heroes,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
Gran Turismo 2,"Myth: The Fallen Lords,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Tom Clancy's Splinter Cell Pandora Tomorrow,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Grand Theft Auto: Chinatown Wars,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Pac-Man Championship Edition DX,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Street Fighter Alpha 3,"NyxQuest: Kindred Spirits,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,Dynasty Warriors 3"
Divinity: Original Sin II,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
Unreal Tournament 2004,"EyeToy: Play,Myth II: Soulblighter,System Shock 2,Dying Light: The Following,Pyre"
Braid,"Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth II: Soulblighter,Pyre"
God of War II,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Super Mario 3D World,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Starcraft II: Wings of Liberty,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
SSX,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Minecraft,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Persona 5,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Persona 4 Golden,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
SSX 3,"Dying Light: The Following,Myth II: Soulblighter,System Shock: Enhanced Edition,EyeToy: Kinetic,Twisted Metal: Black"
Tom Clancy's Splinter Cell,"Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Syphon Filter: Dark Mirror,System Shock: Enhanced Edition,Syberia II"
Quake III Arena,"Syphon Filter: Dark Mirror,Hyper Light Drifter,Myst III: Exile,Myst V: End of Ages,System Shock 2"
Homeworld,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,System Shock: Enhanced Edition"
Okami,"Azure Striker Gunvolt: Striker Pack,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth: The Fallen Lords"
Fallout 3,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Gears of War 2,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
SoulCalibur II,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
World Soccer Winning Eleven 6 International,"EyeToy: Kinetic,TxK,Swing Away Golf,Everybody's Golf,Guitar Hero"
NFL 2K3,"EyeToy: Kinetic,Swing Away Golf,EverQuest II: Echoes of Faydwer,Everybody's Golf,Lunar 2: Eternal Blue Complete"
Mass Effect 3,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Skies of Arcadia,"System Shock 2,Dynasty Tactics,Pyre,Hyper Light Drifter,Tyranny"
The Legend of Zelda: Skyward Sword,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Mario Kart Super Circuit,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
Rock Band 3,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Viewtiful Joe,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
Test Drive Le Mans,"Dyad,Excitebike 64,Extreme-G,Excitebots: Trick Racing,Twisted Metal: Black"
NBA 2K1,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
Castlevania: Symphony of the Night,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Virtua Fighter 4: Evolution,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Uncharted 4: A Thief's End,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Paper Mario,"Myth II: Soulblighter,Pyre,Myth: The Fallen Lords,Syphon Filter,Dyad"
Wipeout XL,"Dyad,Extreme-G,Excitebike 64,Excitebots: Trick Racing,Twisted Metal: Black"
INSIDE,"Azure Striker Gunvolt: Striker Pack,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth II: Soulblighter"
World of Warcraft,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Flipnote Studio,"Azure Striker Gunvolt: Striker Pack,Syberia II,Myth: The Fallen Lords,Myth II: Soulblighter,System Shock: Enhanced Edition"
World Soccer Winning Eleven 7 International,"Myth II: Soulblighter,System Shock 2,Dying Light: The Following,Pyre,Syberia"
NBA 2K2,"EyeToy: Kinetic,Swing Away Golf,Everybody's Golf,Out of the Park Baseball 15,Guacamelee!"
Prince of Persia: The Sands of Time,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Myth II: Soulblighter,Hyper Light Drifter,Myst III: Exile"
Divinity: Original Sin II - Definitive Edition,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Pyre"
God of War III,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
SSX Tricky,"Myth: The Fallen Lords,Myth II: Soulblighter,EyeToy: Kinetic,Swords & Soldiers,Twisted Metal: Black"
NHL 2002,"EyeToy: Kinetic,Swing Away Golf,Everybody's Golf,Out of the Park Baseball 17,Out of the Park Baseball 15"
Guitar Hero II,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Uncharted 3: Drake's Deception,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Rock Band,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
Journey,"Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth II: Soulblighter,Pyre"
Bloodborne,"Syphon Filter: Logan's Shadow,Hyper Light Drifter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Dyad"
Eternal Darkness: Sanity's Requiem,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits"
Warcraft III: Reign of Chaos,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
The Sims,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Dyad,System Shock 2,Myth II: Soulblighter"
Banjo-Kazooie,"Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Dynasty Warriors 3"
Sid Meier's Gettysburg!,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Myth II: Soulblighter,Dynasty Tactics"
Rock Band 2,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Forza Motorsport,"Dyad,Excitebike 64,Extreme-G,Excitebots: Trick Racing,Twisted Metal: Black"
Super Street Fighter IV,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Advance Wars,"Myth II: Soulblighter,Dynasty Tactics,Dynasty Tactics 2,Myth: The Fallen Lords,Syphon Filter"
Vagrant Story,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
What Remains of Edith Finch,"Myth II: Soulblighter,Pyre,Tyranny,Hyper Light Drifter,NyxQuest: Kindred Spirits"
Team Fortress 2,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
System Shock 2,"Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia,Syberia II"
Tom Clancy's Splinter Cell: Chaos Theory,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Final Fantasy XII,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Undertale,"Myth II: Soulblighter,Pyre,System Shock 2,Dying Light: The Following,Syberia"
Super Mario World: Super Mario Advance 2,"Azure Striker Gunvolt: Striker Pack,Syberia,System Shock: Enhanced Edition,Syberia II,Tyranny"
ESPN NFL 2K5,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Super Smash Bros. Melee,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Rome: Total War,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
Forza Motorsport 3,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Okami HD,"Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth II: Soulblighter,Pyre"
Batman: Arkham Asylum,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Myth II: Soulblighter"
Super Mario Sunshine,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Tony Hawk's Pro Skater,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Thief: The Dark Project,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Fire Emblem: Awakening,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Age of Empires II: The Age of Kings,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2"
Final Fantasy X,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
The Walking Dead: A Telltale Games Series,"Azure Striker Gunvolt: Striker Pack,Myst III: Exile,Syberia,Syberia II,Myst V: End of Ages"
Unreal Tournament (1999),"Azure Striker Gunvolt: Striker Pack,EyeToy: Play,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile"
Sid Meier's Alpha Centauri,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
Wave Race 64,"Hyper Light Drifter,Dyad,Excitebike 64,Extreme-G,Excitebots: Trick Racing"
Galactic Civilizations II: Twilight of the Arnor,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Super Smash Bros. for Wii U,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Into the Breach,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter,Dyad,NyxQuest: Kindred Spirits"
Final Fantasy VII,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth II: Soulblighter,Dynasty Tactics"
Chrono Trigger,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Bayonetta 2,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Dark Mirror,System Shock: Enhanced Edition,Syberia II,Tyranny"
Xenoblade Chronicles,"Myth II: Soulblighter,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Dying Light: The Following"
Conker's Bad Fur Day,"Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Dynasty Warriors 3"
Medal of Honor,"Myst III: Exile,Myst V: End of Ages,Dynasty Tactics,Dynasty Tactics 2,Syphon Filter"
PaRappa the Rapper,"Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Pyre,Myth: The Fallen Lords,Syphon Filter: Dark Mirror"
Mario Kart 8 Deluxe,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
The ICO & Shadow of the Colossus Collection,"Azure Striker Gunvolt: Striker Pack,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth: The Fallen Lords"
Rayman Origins,"Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,System Shock 2,Myth II: Soulblighter"
Metroid Prime 2: Echoes,"Syphon Filter: Logan's Shadow,Hyper Light Drifter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Dyad"
Out of the Park Baseball 17,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Metroid Fusion,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,System Shock 2"
The Witcher 3: Wild Hunt - Blood and Wine,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Final Fantasy VI Advance,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Syphon Filter: Logan's Shadow"
Rayman Legends,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Tiger Woods PGA Tour 2003,"Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile"
Madden NFL 2005,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Dark Souls II,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Logan's Shadow,Hyper Light Drifter,System Shock 2,Myth II: Soulblighter"
Dishonored,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
ESPN NFL Football,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,EyeToy: Kinetic"
Medal of Honor: Allied Assault,"Syphon Filter: Logan's Shadow,Dyad,Syphon Filter,Syphon Filter: Dark Mirror,NyxQuest: Kindred Spirits"
Myth: The Fallen Lords,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter: Dark Mirror,Hyper Light Drifter"
LittleBigPlanet 2,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Guitar Hero,"Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Myth: The Fallen Lords,System Shock 2,Dying Light: The Following"
World of Warcraft: Wrath of the Lich King,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Metroid Prime Trilogy,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Overwatch,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
F1 Challenge '99-'02,"Dyad,Excitebike 64,Extreme-G,Excitebots: Trick Racing,Twisted Metal: Black"
Madden NFL 2001,"EyeToy: Play,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Baldur's Gate,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,System Shock: Enhanced Edition"
Klonoa 2: Lunatea's Veil,"Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Syphon Filter,Syphon Filter: Dark Mirror,Dynasty Warriors 3"
IL-2 Sturmovik,"Dyad,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Extreme-G"
Mario Tennis,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,EyeToy: Kinetic"
FreeSpace 2,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Colony Wars,"System Shock 2,Axiom Verge,Sword of the Stars: Born of Blood,Two Point Hospital,Twisted Metal: Head-On"
Ratchet & Clank: Up Your Arsenal,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Resident Evil,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
FIFA Soccer 10,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,EyeToy: Kinetic"
Assassin's Creed II,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
