Title,recommendation
The Legend of Zelda: Ocarina of Time,"Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth: The Fallen Lords,System Shock: Enhanced Edition,System Shock 2"
Tony Hawk's Pro Skater 2,"Myth II: Soulblighter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
Grand Theft Auto IV,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
SoulCalibur,"Azure Striker Gunvolt: Striker Pack,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth: The Fallen Lords"
Super Mario Galaxy,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Super Mario Galaxy 2,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Grand Theft Auto V,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
The Legend of Zelda: Breath of the Wild,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Tony Hawk's Pro Skater 3,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Perfect Dark,"Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Syberia,Hyper Light Drifter,Dyad"
Metroid Prime,"Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth II: Soulblighter,Myst III: Exile,Myst V: End of Ages"
Grand Theft Auto III,"Syphon Filter: Dark Mirror,Myth II: Soulblighter,System Shock 2,Dying Light: The Following,System Shock: Enhanced Edition"
Super Mario Odyssey,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Halo: Combat Evolved,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
NFL 2K1,"Pyre,Syphon Filter,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits"
Half-Life 2,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
BioShock,"Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2,Pyre"
GoldenEye 007,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Syberia"
Uncharted 2: Among Thieves,"Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth II: Soulblighter,System Shock 2,Dying Light: The Following"
Resident Evil 4,"Tyranny,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
The Orange Box,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Batman: Arkham City,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Tekken 3,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Mass Effect 2,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
The Legend of Zelda: Twilight Princess,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
The Elder Scrolls V: Skyrim,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Half-Life,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
The Legend of Zelda: The Wind Waker,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Gran Turismo,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Metal Gear Solid 2: Sons of Liberty,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Dark Mirror,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
Grand Theft Auto Double Pack,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Baldur's Gate II: Shadows of Amn,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
Grand Theft Auto: San Andreas,"Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2,Pyre"
Grand Theft Auto: Vice City,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
LittleBigPlanet,"Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Myth: The Fallen Lords,System Shock 2"
The Legend of Zelda Collector's Edition,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Syberia"
Red Dead Redemption,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter,Syphon Filter: Dark Mirror"
Gran Turismo 3: A-Spec,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Syphon Filter: Logan's Shadow"
